# BEGIN PLOT
LegendOnly=/ATLAS_2012_I1082936/d01-x01-y01 /prehadron1.yoda/ATLAS_2012_I1082936/d01-x01-y01 /posthadron1.yoda/ATLAS_2012_I1082936/d01-x01-y01
XLabel=$p_\perp$~[GeV]
RatioPlotReference=/ATLAS_2012_I1082936/d01-x01-y01
YLabel=$\mathrm{d}^2\sigma/\mathrm{d}p_\perp\mathrm{d}y$~[pb/GeV]
Title=Incl. jet double-diff. x-section, anti-$k_t$ 0.4 ($\left|y\right| < 0.3$)
DrawOnly=/ATLAS_2012_I1082936/d01-x01-y01 /prehadron1.yoda/ATLAS_2012_I1082936/d01-x01-y01 /posthadron1.yoda/ATLAS_2012_I1082936/d01-x01-y01
RatioPlot=1
YMin=1e-4
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2012_I1082936/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2012_I1082936/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	3.000000e+01	4.700000e+06	9.569085e+05	9.475363e+05
3.000000e+01	4.500000e+01	7.170000e+05	1.175243e+05	1.225166e+05
4.500000e+01	6.000000e+01	1.480000e+05	1.767599e+04	1.953549e+04
6.000000e+01	8.000000e+01	3.810000e+04	3.889560e+03	4.002677e+03
8.000000e+01	1.100000e+02	8.520000e+03	9.859757e+02	9.013596e+02
1.100000e+02	1.600000e+02	1.480000e+03	1.389029e+02	1.477070e+02
1.600000e+02	2.100000e+02	2.540000e+02	2.536138e+01	2.712526e+01
2.100000e+02	2.600000e+02	6.340000e+01	8.732832e+00	8.102513e+00
2.600000e+02	3.100000e+02	2.070000e+01	2.437240e+00	2.643039e+00
3.100000e+02	4.000000e+02	5.960000e+00	6.493417e-01	7.084655e-01
4.000000e+02	5.000000e+02	1.330000e+00	1.636983e-01	1.584713e-01
5.000000e+02	6.000000e+02	3.470000e-01	4.693852e-02	5.098166e-02
6.000000e+02	8.000000e+02	6.440000e-02	1.000157e-02	1.048105e-02
8.000000e+02	1.000000e+03	1.010000e-02	2.366182e-03	2.489399e-03
1.000000e+03	1.200000e+03	1.140000e-03	4.826241e-04	4.938043e-04
1.200000e+03	1.500000e+03	4.000000e-04	2.551862e-04	2.586194e-04
# END HISTO1D


# BEGIN HISTO1D /prehadron1.yoda/ATLAS_2012_I1082936/d01-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/prehadron1.yoda/ATLAS_2012_I1082936/d01-x01-y01
ScaledBy=2.80222464148160815e+07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	3.000000e+01	6.485624e+06	1.298972e+06	1.298972e+06
3.000000e+01	4.500000e+01	2.362910e+06	4.264190e+05	4.264190e+05
4.500000e+01	6.000000e+01	4.332722e+05	7.326554e+04	7.326554e+04
6.000000e+01	8.000000e+01	1.904521e+05	4.276370e+04	4.276370e+04
8.000000e+01	1.100000e+02	3.151623e+04	4.252790e+03	4.252790e+03
1.100000e+02	1.600000e+02	7.409330e+03	1.300826e+03	1.300826e+03
1.600000e+02	2.100000e+02	1.141473e+03	1.686691e+02	1.686691e+02
2.100000e+02	2.600000e+02	2.674894e+02	3.437101e+01	3.437101e+01
2.600000e+02	3.100000e+02	9.094292e+01	1.194640e+01	1.194640e+01
3.100000e+02	4.000000e+02	2.760193e+01	3.614093e+00	3.614093e+00
4.000000e+02	5.000000e+02	8.135739e+00	1.206954e+00	1.206954e+00
5.000000e+02	6.000000e+02	1.677322e+00	2.208744e-01	2.208744e-01
6.000000e+02	8.000000e+02	6.099925e-01	7.162845e-02	7.162845e-02
8.000000e+02	1.000000e+03	1.425648e-01	1.952739e-02	1.952739e-02
1.000000e+03	1.200000e+03	2.656932e-02	4.189672e-03	4.189672e-03
1.200000e+03	1.500000e+03	1.001718e-02	1.670128e-03	1.670128e-03
# END HISTO1D


# BEGIN HISTO1D /posthadron1.yoda/ATLAS_2012_I1082936/d01-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/posthadron1.yoda/ATLAS_2012_I1082936/d01-x01-y01
ScaledBy=3.10066188308388293e+08
Title=PS+HAD+MPI
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	3.000000e+01	2.860811e+07	2.196521e+07	2.196521e+07
3.000000e+01	4.500000e+01	6.826480e+05	3.401641e+05	3.401641e+05
4.500000e+01	6.000000e+01	1.498833e+05	6.496144e+04	6.496144e+04
6.000000e+01	8.000000e+01	1.646256e+05	7.575835e+04	7.575835e+04
8.000000e+01	1.100000e+02	6.136817e+04	2.181586e+04	2.181586e+04
1.100000e+02	1.600000e+02	4.480486e+03	1.225211e+03	1.225211e+03
1.600000e+02	2.100000e+02	7.391596e+02	2.395188e+02	2.395188e+02
2.100000e+02	2.600000e+02	3.490034e+02	1.507384e+02	1.507384e+02
2.600000e+02	3.100000e+02	4.350680e+01	1.716391e+01	1.716391e+01
3.100000e+02	4.000000e+02	3.343937e+01	1.086111e+01	1.086111e+01
4.000000e+02	5.000000e+02	4.016001e+00	1.767576e+00	1.767576e+00
5.000000e+02	6.000000e+02	3.472416e+00	1.346038e+00	1.346038e+00
6.000000e+02	8.000000e+02	4.919506e-01	1.704919e-01	1.704919e-01
8.000000e+02	1.000000e+03	6.514620e-02	3.333193e-02	3.333193e-02
1.000000e+03	1.200000e+03	3.339883e-02	1.564749e-02	1.564749e-02
1.200000e+03	1.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

