# BEGIN PLOT
LegendOnly=/ATLAS_2012_I1082936/d01-x01-y06 /prehadron1.yoda/ATLAS_2012_I1082936/d01-x01-y06 /posthadron1.yoda/ATLAS_2012_I1082936/d01-x01-y06
XLabel=$p_\perp$~[GeV]
RatioPlotReference=/ATLAS_2012_I1082936/d01-x01-y06
YLabel=$\mathrm{d}^2\sigma/\mathrm{d}p_\perp\mathrm{d}y$~[pb/GeV]
Title=Incl. jet double-diff. x-section, anti-$k_t$ 0.4 ($2.8 \leq \left|y\right| < 3.6$)
DrawOnly=/ATLAS_2012_I1082936/d01-x01-y06 /prehadron1.yoda/ATLAS_2012_I1082936/d01-x01-y06 /posthadron1.yoda/ATLAS_2012_I1082936/d01-x01-y06
RatioPlot=1
YMin=1e-3
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2012_I1082936/d01-x01-y06
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2012_I1082936/d01-x01-y06
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	3.000000e+01	1.890000e+06	7.542730e+05	8.916331e+05
3.000000e+01	4.500000e+01	2.670000e+05	9.201584e+04	1.226120e+05
4.500000e+01	6.000000e+01	4.250000e+04	1.064798e+04	1.388506e+04
6.000000e+01	8.000000e+01	8.570000e+03	1.653624e+03	2.007496e+03
8.000000e+01	1.100000e+02	1.310000e+03	2.881429e+02	2.729482e+02
1.100000e+02	1.600000e+02	1.160000e+02	2.621938e+01	2.461091e+01
1.600000e+02	2.100000e+02	5.570000e+00	1.664914e+00	2.045158e+00
2.100000e+02	2.600000e+02	2.890000e-01	1.237019e-01	1.253998e-01
2.600000e+02	3.100000e+02	9.170000e-03	7.276550e-03	9.855412e-03
# END HISTO1D


# BEGIN HISTO1D /prehadron1.yoda/ATLAS_2012_I1082936/d01-x01-y06
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/prehadron1.yoda/ATLAS_2012_I1082936/d01-x01-y06
ScaledBy=1.05083424055560268e+07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	3.000000e+01	6.571690e+06	1.345199e+06	1.345199e+06
3.000000e+01	4.500000e+01	1.421943e+06	2.221751e+05	2.221751e+05
4.500000e+01	6.000000e+01	2.358148e+05	3.397937e+04	3.397937e+04
6.000000e+01	8.000000e+01	6.470650e+04	9.065309e+03	9.065309e+03
8.000000e+01	1.100000e+02	9.244203e+03	1.412434e+03	1.412434e+03
1.100000e+02	1.600000e+02	1.592192e+03	2.843409e+02	2.843409e+02
1.600000e+02	2.100000e+02	1.262590e+02	2.148708e+01	2.148708e+01
2.100000e+02	2.600000e+02	2.087632e+01	4.347980e+00	4.347980e+00
2.600000e+02	3.100000e+02	2.265456e+00	1.056847e+00	1.056847e+00
# END HISTO1D


# BEGIN HISTO1D /posthadron1.yoda/ATLAS_2012_I1082936/d01-x01-y06
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/posthadron1.yoda/ATLAS_2012_I1082936/d01-x01-y06
ScaledBy=1.16274820615645573e+08
Title=PS+HAD+MPI
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	3.000000e+01	1.125624e+07	5.472220e+06	5.472220e+06
3.000000e+01	4.500000e+01	6.030101e+05	2.547842e+05	2.547842e+05
4.500000e+01	6.000000e+01	1.894399e+05	1.130537e+05	1.130537e+05
6.000000e+01	8.000000e+01	8.506140e+04	5.481825e+04	5.481825e+04
8.000000e+01	1.100000e+02	7.291193e+03	3.208335e+03	3.208335e+03
1.100000e+02	1.600000e+02	1.530028e+03	7.773113e+02	7.773113e+02
1.600000e+02	2.100000e+02	1.817814e+02	1.093857e+02	1.093857e+02
2.100000e+02	2.600000e+02	9.009996e-01	8.752824e-01	8.752824e-01
2.600000e+02	3.100000e+02	9.799134e+00	7.076185e+00	7.076185e+00
# END HISTO1D

