# BEGIN PLOT
LegendOnly=/ATLAS_2012_I1082936/d03-x01-y03 /prehadron1.yoda/ATLAS_2012_I1082936/d03-x01-y03 /posthadron1.yoda/ATLAS_2012_I1082936/d03-x01-y03
DrawOnly=/ATLAS_2012_I1082936/d03-x01-y03 /prehadron1.yoda/ATLAS_2012_I1082936/d03-x01-y03 /posthadron1.yoda/ATLAS_2012_I1082936/d03-x01-y03
Title=Dijet double-diff. x-section, anti-$k_t$ 0.4 ($1.0 \leq y^* < 1.5$)
RatioPlotReference=/ATLAS_2012_I1082936/d03-x01-y03
RatioPlot=1
LogY=1
XLabel=$m_{12}$~[TeV]
YLabel=$\mathrm{d}^2\sigma/\mathrm{d}m_{12}\mathrm{d}y^*$~[pb/TeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2012_I1082936/d03-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2012_I1082936/d03-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.600000e-01	2.100000e-01	4.300000e+07	7.667637e+06	8.440824e+06
2.100000e-01	2.600000e-01	1.300000e+07	1.768478e+06	1.744666e+06
2.600000e-01	3.100000e-01	4.800000e+06	5.783552e+05	6.381654e+05
3.100000e-01	3.700000e-01	1.900000e+06	2.118330e+05	2.311313e+05
3.700000e-01	4.400000e-01	7.300000e+05	7.852578e+04	8.260365e+04
4.400000e-01	5.100000e-01	3.000000e+05	3.756714e+04	3.779881e+04
5.100000e-01	5.900000e-01	1.300000e+05	1.701411e+04	1.678461e+04
5.900000e-01	6.700000e-01	5.700000e+04	7.076499e+03	7.465912e+03
6.700000e-01	7.600000e-01	2.600000e+04	3.017120e+03	3.372592e+03
7.600000e-01	8.500000e-01	1.300000e+04	1.753603e+03	1.740884e+03
8.500000e-01	9.500000e-01	6.100000e+03	8.892202e+02	9.611324e+02
9.500000e-01	1.060000e+00	3.100000e+03	4.522283e+02	4.613483e+02
1.060000e+00	1.180000e+00	1.400000e+03	2.174331e+02	2.076300e+02
1.180000e+00	1.310000e+00	7.200000e+02	1.047990e+02	1.011952e+02
