# BEGIN PLOT
LegendOnly=/ATLAS_2012_I1082936/d04-x01-y01 /prehadron1.yoda/ATLAS_2012_I1082936/d04-x01-y01 /posthadron1.yoda/ATLAS_2012_I1082936/d04-x01-y01
DrawOnly=/ATLAS_2012_I1082936/d04-x01-y01 /prehadron1.yoda/ATLAS_2012_I1082936/d04-x01-y01 /posthadron1.yoda/ATLAS_2012_I1082936/d04-x01-y01
Title=Dijet double-diff. x-section, anti-$k_t$ 0.6 ($y^* < 0.5$)
RatioPlotReference=/ATLAS_2012_I1082936/d04-x01-y01
RatioPlot=1
LogY=1
XLabel=$m_{12}$~[TeV]
YLabel=$\mathrm{d}^2\sigma/\mathrm{d}m_{12}\mathrm{d}y^*$~[pb/TeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2012_I1082936/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2012_I1082936/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e-02	1.100000e-01	4.600000e+08	8.661702e+07	9.753637e+07
1.100000e-01	1.600000e-01	5.600000e+07	6.692834e+06	7.165333e+06
1.600000e-01	2.100000e-01	1.100000e+07	1.137602e+06	1.196493e+06
2.100000e-01	2.600000e-01	2.900000e+06	2.917925e+05	2.996698e+05
2.600000e-01	3.100000e-01	1.000000e+06	9.788897e+04	1.059210e+05
3.100000e-01	3.700000e-01	3.800000e+05	3.985321e+04	4.059987e+04
3.700000e-01	4.400000e-01	1.400000e+05	1.421810e+04	1.591942e+04
4.400000e-01	5.100000e-01	5.800000e+04	6.531070e+03	7.152557e+03
5.100000e-01	5.900000e-01	2.400000e+04	3.055634e+03	2.984397e+03
5.900000e-01	6.700000e-01	1.100000e+04	1.314488e+03	1.334813e+03
6.700000e-01	7.600000e-01	4.800000e+03	6.312319e+02	6.602574e+02
7.600000e-01	8.500000e-01	2.300000e+03	3.151084e+02	3.080455e+02
8.500000e-01	9.500000e-01	1.100000e+03	1.457905e+02	1.544315e+02
9.500000e-01	1.060000e+00	5.500000e+02	7.724123e+01	8.261542e+01
1.060000e+00	1.180000e+00	2.600000e+02	3.929098e+01	4.004506e+01
1.180000e+00	1.310000e+00	1.300000e+02	2.076992e+01	2.076992e+01
1.310000e+00	1.450000e+00	5.400000e+01	9.268672e+00	9.117049e+00
1.450000e+00	1.600000e+00	2.200000e+01	4.101923e+00	4.327909e+00
1.600000e+00	1.940000e+00	9.200000e+00	1.961327e+00	2.040431e+00
1.940000e+00	2.780000e+00	9.200000e-01	3.217647e-01	3.379307e-01
# END HISTO1D


# BEGIN HISTO1D /prehadron1.yoda/ATLAS_2012_I1082936/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/prehadron1.yoda/ATLAS_2012_I1082936/d04-x01-y01
ScaledBy=3.36266956977792978e+07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e-02	1.100000e-01	1.147257e+09	1.326949e+08	1.326949e+08
1.100000e-01	1.600000e-01	2.115988e+08	1.967364e+07	1.967364e+07
1.600000e-01	2.100000e-01	3.184818e+07	3.480272e+06	3.480272e+06
2.100000e-01	2.600000e-01	1.022247e+07	1.000452e+06	1.000452e+06
2.600000e-01	3.100000e-01	3.079096e+06	3.345293e+05	3.345293e+05
3.100000e-01	3.700000e-01	1.301294e+06	1.425347e+05	1.425347e+05
3.700000e-01	4.400000e-01	5.888946e+05	5.717954e+04	5.717954e+04
4.400000e-01	5.100000e-01	2.417796e+05	3.268452e+04	3.268452e+04
5.100000e-01	5.900000e-01	9.593489e+04	1.096293e+04	1.096293e+04
5.900000e-01	6.700000e-01	4.797476e+04	5.898808e+03	5.898808e+03
6.700000e-01	7.600000e-01	2.217041e+04	2.997003e+03	2.997003e+03
7.600000e-01	8.500000e-01	1.447739e+04	1.739827e+03	1.739827e+03
8.500000e-01	9.500000e-01	6.758577e+03	9.913229e+02	9.913229e+02
9.500000e-01	1.060000e+00	4.361652e+03	5.819763e+02	5.819763e+02
1.060000e+00	1.180000e+00	1.444133e+03	2.055075e+02	2.055075e+02
1.180000e+00	1.310000e+00	1.037582e+03	1.457755e+02	1.457755e+02
1.310000e+00	1.450000e+00	6.519780e+02	8.673696e+01	8.673696e+01
1.450000e+00	1.600000e+00	2.265214e+02	3.938191e+01	3.938191e+01
1.600000e+00	1.940000e+00	1.207696e+02	1.394614e+01	1.394614e+01
