# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d04-x01-y01 /CUETP8M1-NNPDF2.3LO_HardQCD_1T_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01 /CUETP8M1-NNPDF2.3LO_HardQCD_1T_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
DrawOnly=/CMS_2021_I1972986/d04-x01-y01 /CUETP8M1-NNPDF2.3LO_HardQCD_1T_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01 /CUETP8M1-NNPDF2.3LO_HardQCD_1T_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $1.5 < |y| < 2.0$
RatioPlotReference=/CMS_2021_I1972986/d04-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.96
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	6.398100e+03	3.942272e+02	3.942272e+02
1.330000e+02	1.740000e+02	1.433800e+03	7.805702e+01	7.805702e+01
1.740000e+02	2.200000e+02	3.841500e+02	2.010232e+01	2.010232e+01
2.200000e+02	2.720000e+02	1.126000e+02	5.771391e+00	5.771391e+00
2.720000e+02	3.300000e+02	3.567500e+01	1.820850e+00	1.820850e+00
3.300000e+02	3.950000e+02	1.185000e+01	6.111903e-01	6.111903e-01
3.950000e+02	4.680000e+02	4.059300e+00	2.148317e-01	2.148317e-01
4.680000e+02	5.480000e+02	1.391600e+00	7.705394e-02	7.705394e-02
5.480000e+02	6.380000e+02	4.812600e-01	2.826861e-02	2.826861e-02
6.380000e+02	7.370000e+02	1.591400e-01	1.013618e-02	1.013618e-02
7.370000e+02	8.460000e+02	5.135000e-02	3.641620e-03	3.641620e-03
8.460000e+02	9.670000e+02	1.568000e-02	1.277638e-03	1.277638e-03
9.670000e+02	1.101000e+03	4.298700e-03	4.116181e-04	4.116181e-04
1.101000e+03	1.248000e+03	1.083700e-03	1.278146e-04	1.278146e-04
1.248000e+03	1.410000e+03	1.935200e-04	3.001272e-05	3.001272e-05
1.410000e+03	1.588000e+03	4.504500e-05	9.848151e-06	9.848151e-06
# END HISTO1D


# BEGIN HISTO1D /CUETP8M1-NNPDF2.3LO_HardQCD_1T_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/CUETP8M1-NNPDF2.3LO_HardQCD_1T_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=1.49390795394323668e+04
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	8.448047e+03	2.498849e+01	2.498849e+01
1.330000e+02	1.740000e+02	1.837467e+03	5.821944e+00	5.821944e+00
1.740000e+02	2.200000e+02	4.739648e+02	1.615776e+00	1.615776e+00
2.200000e+02	2.720000e+02	1.379504e+02	5.093309e-01	5.093309e-01
2.720000e+02	3.300000e+02	4.297326e+01	1.726302e-01	1.726302e-01
3.300000e+02	3.950000e+02	1.416324e+01	6.313474e-02	6.313474e-02
3.950000e+02	4.680000e+02	4.745937e+00	2.351803e-02	2.351803e-02
4.680000e+02	5.480000e+02	1.627244e+00	9.259844e-03	9.259844e-03
5.480000e+02	6.380000e+02	5.536607e-01	3.569066e-03	3.569066e-03
6.380000e+02	7.370000e+02	1.847772e-01	1.446514e-03	1.446514e-03
7.370000e+02	8.460000e+02	6.109397e-02	5.881953e-04	5.881953e-04
8.460000e+02	9.670000e+02	1.847402e-02	2.293506e-04	2.293506e-04
9.670000e+02	1.101000e+03	5.386463e-03	8.695410e-05	8.695410e-05
1.101000e+03	1.248000e+03	1.401944e-03	3.135075e-05	3.135075e-05
1.248000e+03	1.410000e+03	3.606907e-04	1.246829e-05	1.246829e-05
1.410000e+03	1.588000e+03	6.748096e-05	3.848000e-06	3.848000e-06
# END HISTO1D


# BEGIN HISTO1D /CUETP8M1-NNPDF2.3LO_HardQCD_1T_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/CUETP8M1-NNPDF2.3LO_HardQCD_1T_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=1.67248851295646804e+05
Title=PS+HAD+MPI
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	8.444617e+03	8.431729e+01	8.431729e+01
1.330000e+02	1.740000e+02	1.849169e+03	1.978443e+01	1.978443e+01
1.740000e+02	2.200000e+02	4.729952e+02	5.330394e+00	5.330394e+00
2.200000e+02	2.720000e+02	1.364429e+02	1.696832e+00	1.696832e+00
2.720000e+02	3.300000e+02	4.213288e+01	5.771875e-01	5.771875e-01
3.300000e+02	3.950000e+02	1.429964e+01	2.159207e-01	2.159207e-01
3.950000e+02	4.680000e+02	4.627525e+00	7.558446e-02	7.558446e-02
4.680000e+02	5.480000e+02	1.622908e+00	3.078360e-02	3.078360e-02
5.480000e+02	6.380000e+02	5.390533e-01	1.196781e-02	1.196781e-02
6.380000e+02	7.370000e+02	1.743354e-01	4.378913e-03	4.378913e-03
7.370000e+02	8.460000e+02	5.912714e-02	1.796715e-03	1.796715e-03
8.460000e+02	9.670000e+02	1.803991e-02	7.408413e-04	7.408413e-04
9.670000e+02	1.101000e+03	5.165096e-03	2.713863e-04	2.713863e-04
1.101000e+03	1.248000e+03	1.604899e-03	1.135075e-04	1.135075e-04
1.248000e+03	1.410000e+03	3.960746e-04	4.398472e-05	4.398472e-05
1.410000e+03	1.588000e+03	6.364983e-05	1.177711e-05	1.177711e-05
# END HISTO1D

