# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d02-x01-y01 /prehadron_10k.yoda/CMS_2021_I1972986/d02-x01-y01 /posthadron_10k.yoda/CMS_2021_I1972986/d02-x01-y01
DrawOnly=/CMS_2021_I1972986/d02-x01-y01 /prehadron_10k.yoda/CMS_2021_I1972986/d02-x01-y01 /posthadron_10k.yoda/CMS_2021_I1972986/d02-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/CMS_2021_I1972986/d02-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	9.000700e+03	4.198113e+02	4.198113e+02
1.330000e+02	1.740000e+02	2.078900e+03	8.746185e+01	8.746185e+01
1.740000e+02	2.200000e+02	5.682200e+02	2.276880e+01	2.276880e+01
2.200000e+02	2.720000e+02	1.735600e+02	6.867959e+00	6.867959e+00
2.720000e+02	3.300000e+02	5.756600e+01	2.251850e+00	2.251850e+00
3.300000e+02	3.950000e+02	2.031500e+01	7.853185e-01	7.853185e-01
3.950000e+02	4.680000e+02	7.586200e+00	2.915833e-01	2.915833e-01
4.680000e+02	5.480000e+02	2.863700e+00	1.108006e-01	1.108006e-01
5.480000e+02	6.380000e+02	1.144600e+00	4.474457e-02	4.474457e-02
6.380000e+02	7.370000e+02	4.548700e-01	1.821662e-02	1.821662e-02
7.370000e+02	8.460000e+02	1.854900e-01	7.688253e-03	7.688253e-03
8.460000e+02	9.670000e+02	7.652600e-02	3.311274e-03	3.311274e-03
9.670000e+02	1.101000e+03	3.072700e-02	1.399331e-03	1.399331e-03
1.101000e+03	1.248000e+03	1.259200e-02	6.133356e-04	6.133356e-04
1.248000e+03	1.410000e+03	4.953000e-03	2.633573e-04	2.633573e-04
1.410000e+03	1.588000e+03	1.881000e-03	1.113414e-04	1.113414e-04
1.588000e+03	1.784000e+03	7.196400e-04	4.835261e-05	4.835261e-05
1.784000e+03	2.000000e+03	2.400000e-04	1.950669e-05	1.950669e-05
2.000000e+03	2.238000e+03	8.481400e-05	8.541858e-06	8.541858e-06
2.238000e+03	2.500000e+03	2.594300e-05	3.701724e-06	3.701724e-06
2.500000e+03	2.787000e+03	5.502400e-06	1.457034e-06	1.457034e-06
# END HISTO1D


# BEGIN HISTO1D /prehadron_10k.yoda/CMS_2021_I1972986/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/prehadron_10k.yoda/CMS_2021_I1972986/d02-x01-y01
ScaledBy=1.82154902982901074e+07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.162422e+04	1.175481e+03	1.175481e+03
1.330000e+02	1.740000e+02	2.774666e+03	2.609361e+02	2.609361e+02
1.740000e+02	2.200000e+02	6.257354e+02	6.466766e+01	6.466766e+01
2.200000e+02	2.720000e+02	2.085637e+02	2.556302e+01	2.556302e+01
2.720000e+02	3.300000e+02	7.321636e+01	8.473276e+00	8.473276e+00
3.300000e+02	3.950000e+02	2.163149e+01	2.764236e+00	2.764236e+00
3.950000e+02	4.680000e+02	1.136677e+01	1.485789e+00	1.485789e+00
4.680000e+02	5.480000e+02	2.752578e+00	3.961240e-01	3.961240e-01
5.480000e+02	6.380000e+02	1.610939e+00	2.699772e-01	2.699772e-01
6.380000e+02	7.370000e+02	7.162211e-01	1.117363e-01	1.117363e-01
7.370000e+02	8.460000e+02	2.114776e-01	4.813607e-02	4.813607e-02
8.460000e+02	9.670000e+02	7.732941e-02	1.309748e-02	1.309748e-02
9.670000e+02	1.101000e+03	3.500696e-02	1.162258e-02	1.162258e-02
1.101000e+03	1.248000e+03	1.242701e-02	2.864914e-03	2.864914e-03
1.248000e+03	1.410000e+03	7.915136e-03	2.156080e-03	2.156080e-03
1.410000e+03	1.588000e+03	3.545547e-03	1.017163e-03	1.017163e-03
1.588000e+03	1.784000e+03	1.301119e-04	1.301119e-04	1.301119e-04
1.784000e+03	2.000000e+03	1.416844e-04	9.485281e-05	9.485281e-05
2.000000e+03	2.238000e+03	8.909992e-05	5.158699e-05	5.158699e-05
2.238000e+03	2.500000e+03	2.173057e-05	2.173057e-05	2.173057e-05
2.500000e+03	2.787000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /posthadron_10k.yoda/CMS_2021_I1972986/d02-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/posthadron_10k.yoda/CMS_2021_I1972986/d02-x01-y01
ScaledBy=1.86199903978543840e+07
Title=PS+HAD+MPI
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.053112e+04	9.301985e+02	9.301985e+02
1.330000e+02	1.740000e+02	2.475173e+03	2.316979e+02	2.316979e+02
1.740000e+02	2.200000e+02	6.179996e+02	5.905766e+01	5.905766e+01
2.200000e+02	2.720000e+02	2.481102e+02	2.844023e+01	2.844023e+01
2.720000e+02	3.300000e+02	5.666121e+01	6.470485e+00	6.470485e+00
3.300000e+02	3.950000e+02	3.172228e+01	3.535158e+00	3.535158e+00
3.950000e+02	4.680000e+02	8.132332e+00	1.167159e+00	1.167159e+00
4.680000e+02	5.480000e+02	3.102676e+00	4.108881e-01	4.108881e-01
5.480000e+02	6.380000e+02	1.355112e+00	2.012242e-01	2.012242e-01
6.380000e+02	7.370000e+02	4.512769e-01	7.069789e-02	7.069789e-02
7.370000e+02	8.460000e+02	1.781582e-01	2.827185e-02	2.827185e-02
8.460000e+02	9.670000e+02	7.380305e-02	1.412406e-02	1.412406e-02
9.670000e+02	1.101000e+03	3.228581e-02	6.577468e-03	6.577468e-03
1.101000e+03	1.248000e+03	8.948122e-03	2.782482e-03	2.782482e-03
1.248000e+03	1.410000e+03	1.740922e-03	7.657889e-04	7.657889e-04
1.410000e+03	1.588000e+03	1.297675e-03	5.834326e-04	5.834326e-04
1.588000e+03	1.784000e+03	7.157561e-04	2.980800e-04	2.980800e-04
1.784000e+03	2.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+03	2.238000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.238000e+03	2.500000e+03	3.822840e-05	2.706061e-05	2.706061e-05
2.500000e+03	2.787000e+03	1.066230e-05	1.066230e-05	1.066230e-05
# END HISTO1D

