# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d04-x01-y01 /Monash_HardQCD_Random_10M_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01 /Monash_HardQCD_Random_10M_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
DrawOnly=/CMS_2021_I1972986/d04-x01-y01 /Monash_HardQCD_Random_10M_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01 /Monash_HardQCD_Random_10M_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $1.5 < |y| < 2.0$
RatioPlotReference=/CMS_2021_I1972986/d04-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.96
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	6.398100e+03	3.942272e+02	3.942272e+02
1.330000e+02	1.740000e+02	1.433800e+03	7.805702e+01	7.805702e+01
1.740000e+02	2.200000e+02	3.841500e+02	2.010232e+01	2.010232e+01
2.200000e+02	2.720000e+02	1.126000e+02	5.771391e+00	5.771391e+00
2.720000e+02	3.300000e+02	3.567500e+01	1.820850e+00	1.820850e+00
3.300000e+02	3.950000e+02	1.185000e+01	6.111903e-01	6.111903e-01
3.950000e+02	4.680000e+02	4.059300e+00	2.148317e-01	2.148317e-01
4.680000e+02	5.480000e+02	1.391600e+00	7.705394e-02	7.705394e-02
5.480000e+02	6.380000e+02	4.812600e-01	2.826861e-02	2.826861e-02
6.380000e+02	7.370000e+02	1.591400e-01	1.013618e-02	1.013618e-02
7.370000e+02	8.460000e+02	5.135000e-02	3.641620e-03	3.641620e-03
8.460000e+02	9.670000e+02	1.568000e-02	1.277638e-03	1.277638e-03
9.670000e+02	1.101000e+03	4.298700e-03	4.116181e-04	4.116181e-04
1.101000e+03	1.248000e+03	1.083700e-03	1.278146e-04	1.278146e-04
1.248000e+03	1.410000e+03	1.935200e-04	3.001272e-05	3.001272e-05
1.410000e+03	1.588000e+03	4.504500e-05	9.848151e-06	9.848151e-06
# END HISTO1D


# BEGIN HISTO1D /Monash_HardQCD_Random_10M_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/Monash_HardQCD_Random_10M_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=1.00554507601848198e+06
Title=PS+HAD+MPI
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	8.301158e+03	1.930653e+02	1.930653e+02
1.330000e+02	1.740000e+02	1.831579e+03	4.883960e+01	4.883960e+01
1.740000e+02	2.200000e+02	4.767385e+02	1.251487e+01	1.251487e+01
2.200000e+02	2.720000e+02	1.349403e+02	3.985311e+00	3.985311e+00
2.720000e+02	3.300000e+02	4.085797e+01	1.314218e+00	1.314218e+00
3.300000e+02	3.950000e+02	1.432459e+01	5.263400e-01	5.263400e-01
3.950000e+02	4.680000e+02	4.570371e+00	1.737813e-01	1.737813e-01
4.680000e+02	5.480000e+02	1.684927e+00	7.271259e-02	7.271259e-02
5.480000e+02	6.380000e+02	5.148693e-01	2.850725e-02	2.850725e-02
6.380000e+02	7.370000e+02	1.732015e-01	1.099977e-02	1.099977e-02
7.370000e+02	8.460000e+02	5.634320e-02	3.989003e-03	3.989003e-03
8.460000e+02	9.670000e+02	1.874239e-02	1.799649e-03	1.799649e-03
9.670000e+02	1.101000e+03	5.077259e-03	7.448779e-04	7.448779e-04
1.101000e+03	1.248000e+03	1.402449e-03	2.646526e-04	2.646526e-04
1.248000e+03	1.410000e+03	2.831006e-04	7.660123e-05	7.660123e-05
1.410000e+03	1.588000e+03	1.148301e-04	5.663114e-05	5.663114e-05
# END HISTO1D


# BEGIN HISTO1D /Monash_HardQCD_Random_10M_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/Monash_HardQCD_Random_10M_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=1.11658483314126468e+05
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	8.491753e+03	6.958730e+01	6.958730e+01
1.330000e+02	1.740000e+02	1.829943e+03	1.569318e+01	1.569318e+01
1.740000e+02	2.200000e+02	4.722633e+02	4.388171e+00	4.388171e+00
2.200000e+02	2.720000e+02	1.381036e+02	1.405051e+00	1.405051e+00
2.720000e+02	3.300000e+02	4.379234e+01	4.876273e-01	4.876273e-01
3.300000e+02	3.950000e+02	1.393568e+01	1.695987e-01	1.695987e-01
3.950000e+02	4.680000e+02	4.656425e+00	6.253619e-02	6.253619e-02
4.680000e+02	5.480000e+02	1.636331e+00	2.501776e-02	2.501776e-02
5.480000e+02	6.380000e+02	5.725492e-01	1.013071e-02	1.013071e-02
6.380000e+02	7.370000e+02	1.827438e-01	3.956651e-03	3.956651e-03
7.370000e+02	8.460000e+02	6.092919e-02	1.630821e-03	1.630821e-03
8.460000e+02	9.670000e+02	1.789215e-02	6.955924e-04	6.955924e-04
9.670000e+02	1.101000e+03	5.522725e-03	2.288002e-04	2.288002e-04
1.101000e+03	1.248000e+03	1.464399e-03	8.621439e-05	8.621439e-05
1.248000e+03	1.410000e+03	3.738943e-04	3.604833e-05	3.604833e-05
1.410000e+03	1.588000e+03	8.577640e-05	1.409159e-05	1.409159e-05
# END HISTO1D

