# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d21-x01-y01 /Paris_CUETP8M_10B_prehadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01 /Paris_CUETP8M_10B_posthadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01
DrawOnly=/CMS_2021_I1972986/d21-x01-y01 /Paris_CUETP8M_10B_prehadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01 /Paris_CUETP8M_10B_posthadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK7 jets, $0.0 < |y| < 0.5$
RatioPlotReference=/CMS_2021_I1972986/d21-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d21-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d21-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.473900e+04	7.487453e+02	7.487453e+02
1.330000e+02	1.740000e+02	3.236100e+03	1.419588e+02	1.419588e+02
1.740000e+02	2.200000e+02	8.605300e+02	3.571459e+01	3.571459e+01
2.200000e+02	2.720000e+02	2.574300e+02	1.032110e+01	1.032110e+01
2.720000e+02	3.300000e+02	8.538700e+01	3.318388e+00	3.318388e+00
3.300000e+02	3.950000e+02	2.965500e+01	1.135831e+00	1.135831e+00
3.950000e+02	4.680000e+02	1.099500e+01	4.155528e-01	4.155528e-01
4.680000e+02	5.480000e+02	4.189300e+00	1.578436e-01	1.578436e-01
5.480000e+02	6.380000e+02	1.658000e+00	6.285407e-02	6.285407e-02
6.380000e+02	7.370000e+02	6.663900e-01	2.567876e-02	2.567876e-02
7.370000e+02	8.460000e+02	2.737700e-01	1.083807e-02	1.083807e-02
8.460000e+02	9.670000e+02	1.137100e-01	4.663706e-03	4.663706e-03
9.670000e+02	1.101000e+03	4.685800e-02	2.006821e-03	2.006821e-03
1.101000e+03	1.248000e+03	1.937700e-02	8.757163e-04	8.757163e-04
1.248000e+03	1.410000e+03	7.955900e-03	3.849263e-04	3.849263e-04
1.410000e+03	1.588000e+03	3.274400e-03	1.717812e-04	1.717812e-04
1.588000e+03	1.784000e+03	1.251500e-03	7.276907e-05	7.276907e-05
1.784000e+03	2.000000e+03	4.742700e-04	3.149750e-05	3.149750e-05
2.000000e+03	2.238000e+03	1.815900e-04	1.426657e-05	1.426657e-05
2.238000e+03	2.500000e+03	6.127500e-05	6.279759e-06	6.279759e-06
2.500000e+03	2.787000e+03	1.934800e-05	2.885537e-06	2.885537e-06
2.787000e+03	3.103000e+03	4.600800e-06	1.299444e-06	1.299444e-06
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_10B_prehadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01
LineColor=red
LineStyle=solid
Path=/Paris_CUETP8M_10B_prehadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01
ScaledBy=2.53552743358704101e+04
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.556838e+04	7.523250e+01	7.523250e+01
1.330000e+02	1.740000e+02	3.471724e+03	1.624680e+01	1.624680e+01
1.740000e+02	2.200000e+02	9.354378e+02	4.334812e+00	4.334812e+00
2.200000e+02	2.720000e+02	2.808544e+02	1.296265e+00	1.296265e+00
2.720000e+02	3.300000e+02	9.290712e+01	4.352580e-01	4.352580e-01
3.300000e+02	3.950000e+02	3.272231e+01	1.548001e-01	1.548001e-01
3.950000e+02	4.680000e+02	1.219103e+01	5.799556e-02	5.799556e-02
4.680000e+02	5.480000e+02	4.698106e+00	2.348219e-02	2.348219e-02
5.480000e+02	6.380000e+02	1.854410e+00	9.542678e-03	9.542678e-03
6.380000e+02	7.370000e+02	7.558465e-01	4.082319e-03	4.082319e-03
7.370000e+02	8.460000e+02	3.106721e-01	1.758283e-03	1.758283e-03
8.460000e+02	9.670000e+02	1.295447e-01	7.971524e-04	7.971524e-04
9.670000e+02	1.101000e+03	5.424990e-02	3.559689e-04	3.559689e-04
1.101000e+03	1.248000e+03	2.231341e-02	1.572589e-04	1.572589e-04
1.248000e+03	1.410000e+03	9.240117e-03	7.277189e-05	7.277189e-05
1.410000e+03	1.588000e+03	3.661183e-03	3.219818e-05	3.219818e-05
1.588000e+03	1.784000e+03	1.440697e-03	1.485086e-05	1.485086e-05
1.784000e+03	2.000000e+03	5.384069e-04	6.482148e-06	6.482148e-06
2.000000e+03	2.238000e+03	1.851763e-04	2.716289e-06	2.716289e-06
2.238000e+03	2.500000e+03	6.151168e-05	1.138315e-06	1.138315e-06
2.500000e+03	2.787000e+03	1.769802e-05	4.384480e-07	4.384480e-07
