# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d22-x01-y01 /Paris_CUETP8M_10T_prehadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01 /Paris_CUETP8M_10T_posthadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
DrawOnly=/CMS_2021_I1972986/d22-x01-y01 /Paris_CUETP8M_10T_prehadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01 /Paris_CUETP8M_10T_posthadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK7 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/CMS_2021_I1972986/d22-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d22-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d22-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.404400e+04	6.726276e+02	6.726276e+02
1.330000e+02	1.740000e+02	3.098100e+03	1.352294e+02	1.352294e+02
1.740000e+02	2.200000e+02	8.095600e+02	3.432527e+01	3.432527e+01
2.200000e+02	2.720000e+02	2.390300e+02	9.907935e+00	9.907935e+00
2.720000e+02	3.300000e+02	7.810600e+01	3.165197e+00	3.165197e+00
3.300000e+02	3.950000e+02	2.681600e+01	1.069364e+00	1.069364e+00
3.950000e+02	4.680000e+02	9.934400e+00	3.893467e-01	3.893467e-01
4.680000e+02	5.480000e+02	3.687500e+00	1.441437e-01	1.441437e-01
5.480000e+02	6.380000e+02	1.454100e+00	5.722276e-02	5.722276e-02
6.380000e+02	7.370000e+02	5.742300e-01	2.307161e-02	2.307161e-02
7.370000e+02	8.460000e+02	2.317600e-01	9.644725e-03	9.644725e-03
8.460000e+02	9.670000e+02	9.442700e-02	4.119708e-03	4.119708e-03
9.670000e+02	1.101000e+03	3.794800e-02	1.755467e-03	1.755467e-03
1.101000e+03	1.248000e+03	1.538500e-02	7.625307e-04	7.625307e-04
1.248000e+03	1.410000e+03	5.976200e-03	3.214997e-04	3.214997e-04
1.410000e+03	1.588000e+03	2.292400e-03	1.358846e-04	1.358846e-04
1.588000e+03	1.784000e+03	8.588000e-04	5.730079e-05	5.730079e-05
1.784000e+03	2.000000e+03	2.858500e-04	2.268521e-05	2.268521e-05
2.000000e+03	2.238000e+03	9.917600e-05	9.743346e-06	9.743346e-06
2.238000e+03	2.500000e+03	3.234700e-05	4.429502e-06	4.429502e-06
2.500000e+03	2.787000e+03	5.400800e-06	1.772923e-06	1.772923e-06
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_10T_prehadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/Paris_CUETP8M_10T_prehadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
ScaledBy=9.18178224256273097e+03
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.490654e+04	4.437986e+01	4.437986e+01
1.330000e+02	1.740000e+02	3.271761e+03	9.547735e+00	9.547735e+00
1.740000e+02	2.200000e+02	8.661130e+02	2.480660e+00	2.480660e+00
2.200000e+02	2.720000e+02	2.618662e+02	7.636567e-01	7.636567e-01
2.720000e+02	3.300000e+02	8.513548e+01	2.474884e-01	2.474884e-01
3.300000e+02	3.950000e+02	3.012026e+01	8.987232e-02	8.987232e-02
3.950000e+02	4.680000e+02	1.097601e+01	3.337846e-02	3.337846e-02
4.680000e+02	5.480000e+02	4.184262e+00	1.316928e-02	1.316928e-02
5.480000e+02	6.380000e+02	1.647951e+00	5.368757e-03	5.368757e-03
6.380000e+02	7.370000e+02	6.591637e-01	2.267911e-03	2.267911e-03
7.370000e+02	8.460000e+02	2.650250e-01	9.729919e-04	9.729919e-04
8.460000e+02	9.670000e+02	1.076257e-01	4.326923e-04	4.326923e-04
9.670000e+02	1.101000e+03	4.296791e-02	1.836935e-04	1.836935e-04
1.101000e+03	1.248000e+03	1.710649e-02	8.077325e-05	8.077325e-05
1.248000e+03	1.410000e+03	6.603679e-03	3.625210e-05	3.625210e-05
1.410000e+03	1.588000e+03	2.492315e-03	1.528671e-05	1.528671e-05
1.588000e+03	1.784000e+03	8.962724e-04	6.709595e-06	6.709595e-06
1.784000e+03	2.000000e+03	3.098213e-04	2.829667e-06	2.829667e-06
2.000000e+03	2.238000e+03	9.612349e-05	1.112049e-06	1.112049e-06
2.238000e+03	2.500000e+03	2.762267e-05	4.494819e-07	4.494819e-07
2.500000e+03	2.787000e+03	6.958129e-06	1.635504e-07	1.635504e-07
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_10T_posthadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/Paris_CUETP8M_10T_posthadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
ScaledBy=5.83612060939724324e+04
Title=PS+HAD+MPI
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.723240e+04	1.343035e+02	1.343035e+02
1.330000e+02	1.740000e+02	3.534237e+03	2.635852e+01	2.635852e+01
1.740000e+02	2.200000e+02	9.251757e+02	6.665089e+00	6.665089e+00
2.200000e+02	2.720000e+02	2.714067e+02	1.955407e+00	1.955407e+00
2.720000e+02	3.300000e+02	8.882781e+01	6.439979e-01	6.439979e-01
3.300000e+02	3.950000e+02	3.081594e+01	2.291949e-01	2.291949e-01
3.950000e+02	4.680000e+02	1.104835e+01	8.221457e-02	8.221457e-02
4.680000e+02	5.480000e+02	4.175282e+00	3.274679e-02	3.274679e-02
5.480000e+02	6.380000e+02	1.649872e+00	1.378342e-02	1.378342e-02
6.380000e+02	7.370000e+02	6.631089e-01	5.737325e-03	5.737325e-03
7.370000e+02	8.460000e+02	2.679549e-01	2.470712e-03	2.470712e-03
8.460000e+02	9.670000e+02	1.088924e-01	1.088876e-03	1.088876e-03
9.670000e+02	1.101000e+03	4.382508e-02	4.887546e-04	4.887546e-04
1.101000e+03	1.248000e+03	1.690631e-02	2.061241e-04	2.061241e-04
1.248000e+03	1.410000e+03	6.427123e-03	9.320616e-05	9.320616e-05
1.410000e+03	1.588000e+03	2.494597e-03	3.896236e-05	3.896236e-05
1.588000e+03	1.784000e+03	8.690628e-04	1.513024e-05	1.513024e-05
1.784000e+03	2.000000e+03	3.073405e-04	7.318346e-06	7.318346e-06
2.000000e+03	2.238000e+03	9.540592e-05	2.859463e-06	2.859463e-06
2.238000e+03	2.500000e+03	3.008859e-05	1.157217e-06	1.157217e-06
2.500000e+03	2.787000e+03	7.582174e-06	4.826134e-07	4.826134e-07
# END HISTO1D

