# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d22-x01-y01 /Paris_CUETP8M_10T_2_prehadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01 /Paris_CUETP8M_10T_2_posthadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
DrawOnly=/CMS_2021_I1972986/d22-x01-y01 /Paris_CUETP8M_10T_2_prehadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01 /Paris_CUETP8M_10T_2_posthadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK7 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/CMS_2021_I1972986/d22-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d22-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d22-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.404400e+04	6.726276e+02	6.726276e+02
1.330000e+02	1.740000e+02	3.098100e+03	1.352294e+02	1.352294e+02
1.740000e+02	2.200000e+02	8.095600e+02	3.432527e+01	3.432527e+01
2.200000e+02	2.720000e+02	2.390300e+02	9.907935e+00	9.907935e+00
2.720000e+02	3.300000e+02	7.810600e+01	3.165197e+00	3.165197e+00
3.300000e+02	3.950000e+02	2.681600e+01	1.069364e+00	1.069364e+00
3.950000e+02	4.680000e+02	9.934400e+00	3.893467e-01	3.893467e-01
4.680000e+02	5.480000e+02	3.687500e+00	1.441437e-01	1.441437e-01
5.480000e+02	6.380000e+02	1.454100e+00	5.722276e-02	5.722276e-02
6.380000e+02	7.370000e+02	5.742300e-01	2.307161e-02	2.307161e-02
7.370000e+02	8.460000e+02	2.317600e-01	9.644725e-03	9.644725e-03
8.460000e+02	9.670000e+02	9.442700e-02	4.119708e-03	4.119708e-03
9.670000e+02	1.101000e+03	3.794800e-02	1.755467e-03	1.755467e-03
1.101000e+03	1.248000e+03	1.538500e-02	7.625307e-04	7.625307e-04
1.248000e+03	1.410000e+03	5.976200e-03	3.214997e-04	3.214997e-04
1.410000e+03	1.588000e+03	2.292400e-03	1.358846e-04	1.358846e-04
1.588000e+03	1.784000e+03	8.588000e-04	5.730079e-05	5.730079e-05
1.784000e+03	2.000000e+03	2.858500e-04	2.268521e-05	2.268521e-05
2.000000e+03	2.238000e+03	9.917600e-05	9.743346e-06	9.743346e-06
2.238000e+03	2.500000e+03	3.234700e-05	4.429502e-06	4.429502e-06
2.500000e+03	2.787000e+03	5.400800e-06	1.772923e-06	1.772923e-06
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_10T_2_prehadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/Paris_CUETP8M_10T_2_prehadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
ScaledBy=8.21230048927761709e+03
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.253804e+04	2.939406e+01	2.939406e+01
1.330000e+02	1.740000e+02	3.580932e+03	8.174237e+00	8.174237e+00
1.740000e+02	2.200000e+02	7.724391e+02	1.863069e+00	1.863069e+00
2.200000e+02	2.720000e+02	2.254883e+02	5.122130e-01	5.122130e-01
2.720000e+02	3.300000e+02	7.294417e+01	1.822584e-01	1.822584e-01
3.300000e+02	3.950000e+02	2.620909e+01	6.040718e-02	6.040718e-02
3.950000e+02	4.680000e+02	1.036447e+01	2.972968e-02	2.972968e-02
4.680000e+02	5.480000e+02	3.555058e+00	9.985598e-03	9.985598e-03
5.480000e+02	6.380000e+02	1.623258e+00	4.992740e-03	4.992740e-03
6.380000e+02	7.370000e+02	6.218204e-01	1.830593e-03	1.830593e-03
7.370000e+02	8.460000e+02	2.823189e-01	9.513638e-04	9.513638e-04
8.460000e+02	9.670000e+02	9.169992e-02	4.089651e-04	4.089651e-04
9.670000e+02	1.101000e+03	4.078087e-02	1.439164e-04	1.439164e-04
1.101000e+03	1.248000e+03	2.087773e-02	8.657860e-05	8.657860e-05
1.248000e+03	1.410000e+03	4.649360e-03	2.492637e-05	2.492637e-05
1.410000e+03	1.588000e+03	1.612233e-03	1.099510e-05	1.099510e-05
1.588000e+03	1.784000e+03	8.993658e-04	5.204214e-06	5.204214e-06
1.784000e+03	2.000000e+03	2.086409e-04	1.949157e-06	1.949157e-06
2.000000e+03	2.238000e+03	6.636349e-05	6.917299e-07	6.917299e-07
2.238000e+03	2.500000e+03	4.360267e-05	6.648870e-07	6.648870e-07
2.500000e+03	2.787000e+03	4.272348e-06	9.918364e-08	9.918364e-08
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_10T_2_posthadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/Paris_CUETP8M_10T_2_posthadron_merged.yoda/CMS_2021_I1972986/d22-x01-y01
ScaledBy=5.49148350796389568e+04
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	2.937089e+04	1.614085e+02	1.614085e+02
1.330000e+02	1.740000e+02	3.113324e+03	2.927463e+01	2.927463e+01
1.740000e+02	2.200000e+02	7.941135e+02	4.627341e+00	4.627341e+00
2.200000e+02	2.720000e+02	1.966535e+02	1.388705e+00	1.388705e+00
2.720000e+02	3.300000e+02	5.514031e+01	4.166732e-01	4.166732e-01
3.300000e+02	3.950000e+02	3.103748e+01	2.018063e-01	2.018063e-01
3.950000e+02	4.680000e+02	6.688722e+00	4.788805e-02	4.788805e-02
4.680000e+02	5.480000e+02	5.031891e+00	3.173258e-02	3.173258e-02
5.480000e+02	6.380000e+02	1.348600e+00	9.895857e-03	9.895857e-03
6.380000e+02	7.370000e+02	8.562040e-01	5.431333e-03	5.431333e-03
7.370000e+02	8.460000e+02	2.808595e-01	2.860920e-03	2.860920e-03
8.460000e+02	9.670000e+02	6.493102e-02	5.818918e-04	5.818918e-04
9.670000e+02	1.101000e+03	2.869657e-02	2.810068e-04	2.810068e-04
1.101000e+03	1.248000e+03	1.039087e-02	1.927135e-04	1.927135e-04
1.248000e+03	1.410000e+03	8.742556e-03	8.421122e-05	8.421122e-05
1.410000e+03	1.588000e+03	3.023016e-03	3.433042e-05	3.433042e-05
1.588000e+03	1.784000e+03	9.768505e-04	1.268998e-05	1.268998e-05
1.784000e+03	2.000000e+03	3.740941e-04	6.853420e-06	6.853420e-06
2.000000e+03	2.238000e+03	1.272326e-04	2.509814e-06	2.509814e-06
2.238000e+03	2.500000e+03	6.444668e-06	4.545361e-07	4.545361e-07
2.500000e+03	2.787000e+03	6.771512e-07	1.102240e-07	1.102240e-07
# END HISTO1D

