# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d02-x01-y01 /Paris_CUETP8M_10T_1_2_COMBINED_prehadron.yoda/CMS_2021_I1972986/d02-x01-y01 /Paris_CUETP8M_10T_1_2_COMBINED_posthadron.yoda/CMS_2021_I1972986/d02-x01-y01
DrawOnly=/CMS_2021_I1972986/d02-x01-y01 /Paris_CUETP8M_10T_1_2_COMBINED_prehadron.yoda/CMS_2021_I1972986/d02-x01-y01 /Paris_CUETP8M_10T_1_2_COMBINED_posthadron.yoda/CMS_2021_I1972986/d02-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/CMS_2021_I1972986/d02-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	9.000700e+03	4.198113e+02	4.198113e+02
1.330000e+02	1.740000e+02	2.078900e+03	8.746185e+01	8.746185e+01
1.740000e+02	2.200000e+02	5.682200e+02	2.276880e+01	2.276880e+01
2.200000e+02	2.720000e+02	1.735600e+02	6.867959e+00	6.867959e+00
2.720000e+02	3.300000e+02	5.756600e+01	2.251850e+00	2.251850e+00
3.300000e+02	3.950000e+02	2.031500e+01	7.853185e-01	7.853185e-01
3.950000e+02	4.680000e+02	7.586200e+00	2.915833e-01	2.915833e-01
4.680000e+02	5.480000e+02	2.863700e+00	1.108006e-01	1.108006e-01
5.480000e+02	6.380000e+02	1.144600e+00	4.474457e-02	4.474457e-02
6.380000e+02	7.370000e+02	4.548700e-01	1.821662e-02	1.821662e-02
7.370000e+02	8.460000e+02	1.854900e-01	7.688253e-03	7.688253e-03
8.460000e+02	9.670000e+02	7.652600e-02	3.311274e-03	3.311274e-03
9.670000e+02	1.101000e+03	3.072700e-02	1.399331e-03	1.399331e-03
1.101000e+03	1.248000e+03	1.259200e-02	6.133356e-04	6.133356e-04
1.248000e+03	1.410000e+03	4.953000e-03	2.633573e-04	2.633573e-04
1.410000e+03	1.588000e+03	1.881000e-03	1.113414e-04	1.113414e-04
1.588000e+03	1.784000e+03	7.196400e-04	4.835261e-05	4.835261e-05
1.784000e+03	2.000000e+03	2.400000e-04	1.950669e-05	1.950669e-05
2.000000e+03	2.238000e+03	8.481400e-05	8.541858e-06	8.541858e-06
2.238000e+03	2.500000e+03	2.594300e-05	3.701724e-06	3.701724e-06
2.500000e+03	2.787000e+03	5.502400e-06	1.457034e-06	1.457034e-06
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_10T_1_2_COMBINED_prehadron.yoda/CMS_2021_I1972986/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/Paris_CUETP8M_10T_1_2_COMBINED_prehadron.yoda/CMS_2021_I1972986/d02-x01-y01
ScaledBy=4.33549845370584171e+03
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	9.934875e+03	2.080369e+01	2.080369e+01
1.330000e+02	1.740000e+02	2.610724e+03	4.816181e+00	4.816181e+00
1.740000e+02	2.200000e+02	6.102904e+02	1.254640e+00	1.254640e+00
2.200000e+02	2.720000e+02	1.900553e+02	3.803202e-01	3.803202e-01
2.720000e+02	3.300000e+02	6.361224e+01	1.288542e-01	1.288542e-01
3.300000e+02	3.950000e+02	2.321023e+01	4.572540e-02	4.572540e-02
3.950000e+02	4.680000e+02	8.624477e+00	1.919421e-02	1.919421e-02
4.680000e+02	5.480000e+02	3.125554e+00	7.187053e-03	7.187053e-03
5.480000e+02	6.380000e+02	1.271639e+00	2.852086e-03	2.852086e-03
6.380000e+02	7.370000e+02	5.416878e-01	1.267764e-03	1.267764e-03
7.370000e+02	8.460000e+02	2.182834e-01	5.964847e-04	5.964847e-04
8.460000e+02	9.670000e+02	8.461099e-02	2.689400e-04	2.689400e-04
9.670000e+02	1.101000e+03	3.384057e-02	9.970135e-05	9.970135e-05
1.101000e+03	1.248000e+03	1.483311e-02	4.665287e-05	4.665287e-05
1.248000e+03	1.410000e+03	4.871389e-03	1.896058e-05	1.896058e-05
1.410000e+03	1.588000e+03	1.593231e-03	8.050091e-06	8.050091e-06
1.588000e+03	1.784000e+03	8.047592e-04	3.807474e-06	3.807474e-06
1.784000e+03	2.000000e+03	1.914634e-04	1.372110e-06	1.372110e-06
2.000000e+03	2.238000e+03	6.298239e-05	5.610694e-07	5.610694e-07
2.238000e+03	2.500000e+03	3.395935e-05	3.987008e-07	3.987008e-07
2.500000e+03	2.787000e+03	4.998808e-06	8.649188e-08	8.649188e-08
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_10T_1_2_COMBINED_posthadron.yoda/CMS_2021_I1972986/d02-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/Paris_CUETP8M_10T_1_2_COMBINED_posthadron.yoda/CMS_2021_I1972986/d02-x01-y01
ScaledBy=2.61929177507892709e+04
Title=PS+HAD+MPI
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.747940e+04	8.296923e+01	8.296923e+01
1.330000e+02	1.740000e+02	2.124069e+03	1.073890e+01	1.073890e+01
1.740000e+02	2.200000e+02	6.723130e+02	3.193202e+00	3.193202e+00
2.200000e+02	2.720000e+02	1.740982e+02	9.220483e-01	9.220483e-01
2.720000e+02	3.300000e+02	5.397948e+01	2.874743e-01	2.874743e-01
3.300000e+02	3.950000e+02	2.251485e+01	1.150545e-01	1.150545e-01
3.950000e+02	4.680000e+02	7.270856e+00	3.745769e-02	3.745769e-02
4.680000e+02	5.480000e+02	3.331380e+00	1.695639e-02	1.695639e-02
5.480000e+02	6.380000e+02	1.429217e+00	7.148531e-03	7.148531e-03
6.380000e+02	7.370000e+02	4.961255e-01	3.038404e-03	3.038404e-03
7.370000e+02	8.460000e+02	2.297141e-01	1.639758e-03	1.639758e-03
8.460000e+02	9.670000e+02	7.551866e-02	5.122515e-04	5.122515e-04
9.670000e+02	1.101000e+03	2.950703e-02	2.308374e-04	2.308374e-04
1.101000e+03	1.248000e+03	1.147508e-02	1.255790e-04	1.255790e-04
1.248000e+03	1.410000e+03	6.102382e-03	5.021524e-05	5.021524e-05
1.410000e+03	1.588000e+03	2.621170e-03	2.305629e-05	2.305629e-05
1.588000e+03	1.784000e+03	7.572628e-04	8.337052e-06	8.337052e-06
1.784000e+03	2.000000e+03	2.591588e-04	4.134997e-06	4.134997e-06
2.000000e+03	2.238000e+03	5.233218e-05	1.370413e-06	1.370413e-06
2.238000e+03	2.500000e+03	1.371999e-05	4.908743e-07	4.908743e-07
2.500000e+03	2.787000e+03	3.472811e-06	2.141361e-07	2.141361e-07
# END HISTO1D

