# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d04-x01-y01 /Paris_CUETP8M_4.5T_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01 /Paris_CUETP8M_4.5T_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
DrawOnly=/CMS_2021_I1972986/d04-x01-y01 /Paris_CUETP8M_4.5T_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01 /Paris_CUETP8M_4.5T_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $1.5 < |y| < 2.0$
RatioPlotReference=/CMS_2021_I1972986/d04-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.96
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	6.398100e+03	3.942272e+02	3.942272e+02
1.330000e+02	1.740000e+02	1.433800e+03	7.805702e+01	7.805702e+01
1.740000e+02	2.200000e+02	3.841500e+02	2.010232e+01	2.010232e+01
2.200000e+02	2.720000e+02	1.126000e+02	5.771391e+00	5.771391e+00
2.720000e+02	3.300000e+02	3.567500e+01	1.820850e+00	1.820850e+00
3.300000e+02	3.950000e+02	1.185000e+01	6.111903e-01	6.111903e-01
3.950000e+02	4.680000e+02	4.059300e+00	2.148317e-01	2.148317e-01
4.680000e+02	5.480000e+02	1.391600e+00	7.705394e-02	7.705394e-02
5.480000e+02	6.380000e+02	4.812600e-01	2.826861e-02	2.826861e-02
6.380000e+02	7.370000e+02	1.591400e-01	1.013618e-02	1.013618e-02
7.370000e+02	8.460000e+02	5.135000e-02	3.641620e-03	3.641620e-03
8.460000e+02	9.670000e+02	1.568000e-02	1.277638e-03	1.277638e-03
9.670000e+02	1.101000e+03	4.298700e-03	4.116181e-04	4.116181e-04
1.101000e+03	1.248000e+03	1.083700e-03	1.278146e-04	1.278146e-04
1.248000e+03	1.410000e+03	1.935200e-04	3.001272e-05	3.001272e-05
1.410000e+03	1.588000e+03	4.504500e-05	9.848151e-06	9.848151e-06
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_4.5T_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/Paris_CUETP8M_4.5T_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=1.01147992154834410e+04
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	8.446561e+03	3.213153e+01	3.213153e+01
1.330000e+02	1.740000e+02	1.839916e+03	6.764894e+00	6.764894e+00
1.740000e+02	2.200000e+02	4.747461e+02	1.743564e+00	1.743564e+00
2.200000e+02	2.720000e+02	1.359144e+02	5.052528e-01	5.052528e-01
2.720000e+02	3.300000e+02	4.240614e+01	1.618936e-01	1.618936e-01
3.300000e+02	3.950000e+02	1.398802e+01	5.557614e-02	5.557614e-02
3.950000e+02	4.680000e+02	4.726532e+00	1.984081e-02	1.984081e-02
4.680000e+02	5.480000e+02	1.602716e+00	7.403893e-03	7.403893e-03
5.480000e+02	6.380000e+02	5.514994e-01	2.817917e-03	2.817917e-03
6.380000e+02	7.370000e+02	1.838693e-01	1.074463e-03	1.074463e-03
7.370000e+02	8.460000e+02	6.010292e-02	4.200452e-04	4.200452e-04
8.460000e+02	9.670000e+02	1.851224e-02	1.581468e-04	1.581468e-04
9.670000e+02	1.101000e+03	5.352717e-03	5.871226e-05	5.871226e-05
1.101000e+03	1.248000e+03	1.460061e-03	2.201881e-05	2.201881e-05
1.248000e+03	1.410000e+03	3.313654e-04	7.010039e-06	7.010039e-06
1.410000e+03	1.588000e+03	6.756382e-05	2.252458e-06	2.252458e-06
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_4.5T_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/Paris_CUETP8M_4.5T_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=7.45680193380359269e+04
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	8.509819e+03	8.577240e+01	8.577240e+01
1.330000e+02	1.740000e+02	1.811925e+03	1.738269e+01	1.738269e+01
1.740000e+02	2.200000e+02	4.809841e+02	5.029154e+00	5.029154e+00
2.200000e+02	2.720000e+02	1.342928e+02	1.364918e+00	1.364918e+00
2.720000e+02	3.300000e+02	4.158007e+01	4.183647e-01	4.183647e-01
3.300000e+02	3.950000e+02	1.366391e+01	1.418718e-01	1.418718e-01
3.950000e+02	4.680000e+02	4.698174e+00	5.518795e-02	5.518795e-02
4.680000e+02	5.480000e+02	1.591706e+00	2.044636e-02	2.044636e-02
5.480000e+02	6.380000e+02	5.364782e-01	7.306873e-03	7.306873e-03
6.380000e+02	7.370000e+02	1.841367e-01	3.143380e-03	3.143380e-03
7.370000e+02	8.460000e+02	5.825923e-02	1.102807e-03	1.102807e-03
8.460000e+02	9.670000e+02	1.822378e-02	4.058042e-04	4.058042e-04
9.670000e+02	1.101000e+03	5.102486e-03	1.554796e-04	1.554796e-04
1.101000e+03	1.248000e+03	1.363652e-03	6.303799e-05	6.303799e-05
1.248000e+03	1.410000e+03	3.228864e-04	1.832567e-05	1.832567e-05
1.410000e+03	1.588000e+03	6.497169e-05	6.183413e-06	6.183413e-06
# END HISTO1D

