# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d22-x01-y01 /Nov_26_all_merged_prehadron.yoda/CMS_2021_I1972986/d22-x01-y01 /Nov_26_all_merged_posthadron.yoda/CMS_2021_I1972986/d22-x01-y01
DrawOnly=/CMS_2021_I1972986/d22-x01-y01 /Nov_26_all_merged_prehadron.yoda/CMS_2021_I1972986/d22-x01-y01 /Nov_26_all_merged_posthadron.yoda/CMS_2021_I1972986/d22-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK7 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/CMS_2021_I1972986/d22-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d22-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d22-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.404400e+04	6.726276e+02	6.726276e+02
1.330000e+02	1.740000e+02	3.098100e+03	1.352294e+02	1.352294e+02
1.740000e+02	2.200000e+02	8.095600e+02	3.432527e+01	3.432527e+01
2.200000e+02	2.720000e+02	2.390300e+02	9.907935e+00	9.907935e+00
2.720000e+02	3.300000e+02	7.810600e+01	3.165197e+00	3.165197e+00
3.300000e+02	3.950000e+02	2.681600e+01	1.069364e+00	1.069364e+00
3.950000e+02	4.680000e+02	9.934400e+00	3.893467e-01	3.893467e-01
4.680000e+02	5.480000e+02	3.687500e+00	1.441437e-01	1.441437e-01
5.480000e+02	6.380000e+02	1.454100e+00	5.722276e-02	5.722276e-02
6.380000e+02	7.370000e+02	5.742300e-01	2.307161e-02	2.307161e-02
7.370000e+02	8.460000e+02	2.317600e-01	9.644725e-03	9.644725e-03
8.460000e+02	9.670000e+02	9.442700e-02	4.119708e-03	4.119708e-03
9.670000e+02	1.101000e+03	3.794800e-02	1.755467e-03	1.755467e-03
1.101000e+03	1.248000e+03	1.538500e-02	7.625307e-04	7.625307e-04
1.248000e+03	1.410000e+03	5.976200e-03	3.214997e-04	3.214997e-04
1.410000e+03	1.588000e+03	2.292400e-03	1.358846e-04	1.358846e-04
1.588000e+03	1.784000e+03	8.588000e-04	5.730079e-05	5.730079e-05
1.784000e+03	2.000000e+03	2.858500e-04	2.268521e-05	2.268521e-05
2.000000e+03	2.238000e+03	9.917600e-05	9.743346e-06	9.743346e-06
2.238000e+03	2.500000e+03	3.234700e-05	4.429502e-06	4.429502e-06
2.500000e+03	2.787000e+03	5.400800e-06	1.772923e-06	1.772923e-06
# END HISTO1D


# BEGIN HISTO1D /Nov_26_all_merged_prehadron.yoda/CMS_2021_I1972986/d22-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/Nov_26_all_merged_prehadron.yoda/CMS_2021_I1972986/d22-x01-y01
ScaledBy=7.01976785586772962e+02
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.486729e+04	1.221643e+01	1.221643e+01
1.330000e+02	1.740000e+02	3.276278e+03	2.659210e+00	2.659210e+00
1.740000e+02	2.200000e+02	8.701165e+02	6.946678e-01	6.946678e-01
2.200000e+02	2.720000e+02	2.615542e+02	2.093492e-01	2.093492e-01
2.720000e+02	3.300000e+02	8.567974e+01	6.878466e-02	6.878466e-02
3.300000e+02	3.950000e+02	3.015478e+01	2.464016e-02	2.464016e-02
3.950000e+02	4.680000e+02	1.097609e+01	9.244422e-03	9.244422e-03
4.680000e+02	5.480000e+02	4.202816e+00	3.674675e-03	3.674675e-03
5.480000e+02	6.380000e+02	1.644396e+00	1.475823e-03	1.475823e-03
6.380000e+02	7.370000e+02	6.558992e-01	6.233072e-04	6.233072e-04
7.370000e+02	8.460000e+02	2.646719e-01	2.673563e-04	2.673563e-04
8.460000e+02	9.670000e+02	1.076364e-01	1.186286e-04	1.186286e-04
9.670000e+02	1.101000e+03	4.317268e-02	5.097362e-05	5.097362e-05
1.101000e+03	1.248000e+03	1.711765e-02	2.228364e-05	2.228364e-05
1.248000e+03	1.410000e+03	6.670383e-03	9.903738e-06	9.903738e-06
1.410000e+03	1.588000e+03	2.497344e-03	4.269717e-06	4.269717e-06
1.588000e+03	1.784000e+03	8.908561e-04	1.814023e-06	1.814023e-06
1.784000e+03	2.000000e+03	3.093769e-04	7.868837e-07	7.868837e-07
2.000000e+03	2.238000e+03	9.743475e-05	3.113661e-07	3.113661e-07
2.238000e+03	2.500000e+03	2.801358e-05	1.225068e-07	1.225068e-07
2.500000e+03	2.787000e+03	6.898753e-06	4.452524e-08	4.452524e-08
# END HISTO1D


# BEGIN HISTO1D /Nov_26_all_merged_posthadron.yoda/CMS_2021_I1972986/d22-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/Nov_26_all_merged_posthadron.yoda/CMS_2021_I1972986/d22-x01-y01
ScaledBy=4.60337615825491321e+03
Title=PS+HAD+MPI
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.697878e+04	3.681900e+01	3.681900e+01
1.330000e+02	1.740000e+02	3.573529e+03	7.593419e+00	7.593419e+00
1.740000e+02	2.200000e+02	9.235717e+02	1.874196e+00	1.874196e+00
2.200000e+02	2.720000e+02	2.727952e+02	5.647519e-01	5.647519e-01
2.720000e+02	3.300000e+02	8.842450e+01	1.821919e-01	1.821919e-01
3.300000e+02	3.950000e+02	3.052728e+01	6.429814e-02	6.429814e-02
3.950000e+02	4.680000e+02	1.112759e+01	2.367478e-02	2.367478e-02
4.680000e+02	5.480000e+02	4.174064e+00	9.224136e-03	9.224136e-03
5.480000e+02	6.380000e+02	1.670821e+00	3.902402e-03	3.902402e-03
6.380000e+02	7.370000e+02	6.612605e-01	1.615696e-03	1.615696e-03
7.370000e+02	8.460000e+02	2.643667e-01	6.823125e-04	6.823125e-04
8.460000e+02	9.670000e+02	1.077081e-01	3.034188e-04	3.034188e-04
9.670000e+02	1.101000e+03	4.293134e-02	1.299716e-04	1.299716e-04
1.101000e+03	1.248000e+03	1.707156e-02	5.733709e-05	5.733709e-05
1.248000e+03	1.410000e+03	6.504167e-03	2.570687e-05	2.570687e-05
1.410000e+03	1.588000e+03	2.493411e-03	1.100440e-05	1.100440e-05
1.588000e+03	1.784000e+03	8.862240e-04	4.599150e-06	4.599150e-06
1.784000e+03	2.000000e+03	3.006975e-04	1.964296e-06	1.964296e-06
2.000000e+03	2.238000e+03	9.452895e-05	7.919018e-07	7.919018e-07
2.238000e+03	2.500000e+03	2.914066e-05	3.231129e-07	3.231129e-07
2.500000e+03	2.787000e+03	7.583125e-06	1.412208e-07	1.412208e-07
# END HISTO1D

