# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d02-x01-y01 /COMBINED_PREHADRON.yoda/CMS_2021_I1972986/d02-x01-y01 /COMBINED_POSTHADRON.yoda/CMS_2021_I1972986/d02-x01-y01
DrawOnly=/CMS_2021_I1972986/d02-x01-y01 /COMBINED_PREHADRON.yoda/CMS_2021_I1972986/d02-x01-y01 /COMBINED_POSTHADRON.yoda/CMS_2021_I1972986/d02-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/CMS_2021_I1972986/d02-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	9.000700e+03	4.198113e+02	4.198113e+02
1.330000e+02	1.740000e+02	2.078900e+03	8.746185e+01	8.746185e+01
1.740000e+02	2.200000e+02	5.682200e+02	2.276880e+01	2.276880e+01
2.200000e+02	2.720000e+02	1.735600e+02	6.867959e+00	6.867959e+00
2.720000e+02	3.300000e+02	5.756600e+01	2.251850e+00	2.251850e+00
3.300000e+02	3.950000e+02	2.031500e+01	7.853185e-01	7.853185e-01
3.950000e+02	4.680000e+02	7.586200e+00	2.915833e-01	2.915833e-01
4.680000e+02	5.480000e+02	2.863700e+00	1.108006e-01	1.108006e-01
5.480000e+02	6.380000e+02	1.144600e+00	4.474457e-02	4.474457e-02
6.380000e+02	7.370000e+02	4.548700e-01	1.821662e-02	1.821662e-02
7.370000e+02	8.460000e+02	1.854900e-01	7.688253e-03	7.688253e-03
8.460000e+02	9.670000e+02	7.652600e-02	3.311274e-03	3.311274e-03
9.670000e+02	1.101000e+03	3.072700e-02	1.399331e-03	1.399331e-03
1.101000e+03	1.248000e+03	1.259200e-02	6.133356e-04	6.133356e-04
1.248000e+03	1.410000e+03	4.953000e-03	2.633573e-04	2.633573e-04
1.410000e+03	1.588000e+03	1.881000e-03	1.113414e-04	1.113414e-04
1.588000e+03	1.784000e+03	7.196400e-04	4.835261e-05	4.835261e-05
1.784000e+03	2.000000e+03	2.400000e-04	1.950669e-05	1.950669e-05
2.000000e+03	2.238000e+03	8.481400e-05	8.541858e-06	8.541858e-06
2.238000e+03	2.500000e+03	2.594300e-05	3.701724e-06	3.701724e-06
2.500000e+03	2.787000e+03	5.502400e-06	1.457034e-06	1.457034e-06
# END HISTO1D


# BEGIN HISTO1D /COMBINED_PREHADRON.yoda/CMS_2021_I1972986/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/COMBINED_PREHADRON.yoda/CMS_2021_I1972986/d02-x01-y01
ScaledBy=3.45685072895816461e+02
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.105177e+04	6.718480e+00	6.718480e+00
1.330000e+02	1.740000e+02	2.485520e+03	1.458134e+00	1.458134e+00
1.740000e+02	2.200000e+02	6.656250e+02	3.892591e-01	3.892591e-01
2.200000e+02	2.720000e+02	2.032571e+02	1.197482e-01	1.197482e-01
2.720000e+02	3.300000e+02	6.715616e+01	3.955492e-02	3.955492e-02
3.300000e+02	3.950000e+02	2.387125e+01	1.435862e-02	1.435862e-02
3.950000e+02	4.680000e+02	8.765762e+00	5.371545e-03	5.371545e-03
4.680000e+02	5.480000e+02	3.365779e+00	2.155008e-03	2.155008e-03
5.480000e+02	6.380000e+02	1.330954e+00	8.725662e-04	8.725662e-04
6.380000e+02	7.370000e+02	5.339129e-01	3.737428e-04	3.737428e-04
7.370000e+02	8.460000e+02	2.170755e-01	1.607932e-04	1.607932e-04
8.460000e+02	9.670000e+02	8.850777e-02	7.164138e-05	7.164138e-05
9.670000e+02	1.101000e+03	3.555830e-02	3.065534e-05	3.065534e-05
1.101000e+03	1.248000e+03	1.416329e-02	1.351774e-05	1.351774e-05
1.248000e+03	1.410000e+03	5.543357e-03	6.041731e-06	6.041731e-06
1.410000e+03	1.588000e+03	2.085596e-03	2.596709e-06	2.596709e-06
1.588000e+03	1.784000e+03	7.443372e-04	1.106249e-06	1.106249e-06
1.784000e+03	2.000000e+03	2.604629e-04	4.892951e-07	4.892951e-07
2.000000e+03	2.238000e+03	8.270916e-05	1.935878e-07	1.935878e-07
2.238000e+03	2.500000e+03	2.357549e-05	7.455917e-08	7.455917e-08
2.500000e+03	2.787000e+03	5.795662e-06	2.749183e-08	2.749183e-08
# END HISTO1D


# BEGIN HISTO1D /COMBINED_POSTHADRON.yoda/CMS_2021_I1972986/d02-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/COMBINED_POSTHADRON.yoda/CMS_2021_I1972986/d02-x01-y01
ScaledBy=2.29013802014368775e+03
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.103307e+04	1.713953e+01	1.713953e+01
1.330000e+02	1.740000e+02	2.448446e+03	3.901576e+00	3.901576e+00
1.740000e+02	2.200000e+02	6.656763e+02	9.885115e-01	9.885115e-01
2.200000e+02	2.720000e+02	2.012146e+02	3.103411e-01	3.103411e-01
2.720000e+02	3.300000e+02	6.610495e+01	1.003384e-01	1.003384e-01
3.300000e+02	3.950000e+02	2.329754e+01	3.619805e-02	3.619805e-02
3.950000e+02	4.680000e+02	8.512764e+00	1.337236e-02	1.337236e-02
4.680000e+02	5.480000e+02	3.260128e+00	5.245797e-03	5.245797e-03
5.480000e+02	6.380000e+02	1.325263e+00	2.282897e-03	2.282897e-03
6.380000e+02	7.370000e+02	5.262518e-01	9.650569e-04	9.650569e-04
7.370000e+02	8.460000e+02	2.137977e-01	4.117716e-04	4.117716e-04
8.460000e+02	9.670000e+02	8.641934e-02	1.816403e-04	1.816403e-04
9.670000e+02	1.101000e+03	3.528669e-02	7.937829e-05	7.937829e-05
1.101000e+03	1.248000e+03	1.385926e-02	3.416869e-05	3.416869e-05
1.248000e+03	1.410000e+03	5.319131e-03	1.474165e-05	1.474165e-05
1.410000e+03	1.588000e+03	2.062994e-03	6.794836e-06	6.794836e-06
1.588000e+03	1.784000e+03	7.391260e-04	2.798004e-06	2.798004e-06
1.784000e+03	2.000000e+03	2.521561e-04	1.210269e-06	1.210269e-06
2.000000e+03	2.238000e+03	7.913487e-05	4.859200e-07	4.859200e-07
2.238000e+03	2.500000e+03	2.425297e-05	1.988153e-07	1.988153e-07
2.500000e+03	2.787000e+03	6.686380e-06	9.730116e-08	9.730116e-08
# END HISTO1D

