,d01-x01-y01_bins_low,d01-x01-y01NPC_4,d01-x01-y01error_NPC_4,d02-x01-y01_bins_low,d02-x01-y01NPC_4,d02-x01-y01error_NPC_4,d03-x01-y01_bins_low,d03-x01-y01NPC_4,d03-x01-y01error_NPC_4,d04-x01-y01_bins_low,d04-x01-y01NPC_4,d04-x01-y01error_NPC_4
0,97.0,1.0045995982988802,0.0016389331079752572,97.0,0.9983079633398089,0.0016653559418619982,97.0,0.9991010085607204,0.0017550193287226934,97.0,0.9978043350326425,0.0018985805332327752
1,133.0,0.9900838275157745,0.001558698871832098,133.0,0.9850840065660305,0.0016727215679356467,133.0,0.9914768133907192,0.0016968586424014487,133.0,0.9795150433865866,0.0018170162423857016
2,174.0,0.9985616436527309,0.0015750006467589572,174.0,1.0000770704225352,0.001596099008203484,174.0,0.9872803325310555,0.0016784185583470581,174.0,0.9981968647173641,0.001967129863397982
3,220.0,0.9919447155038752,0.0015554460924221873,220.0,0.9899511505379147,0.0016344398555636407,220.0,0.9848090451057578,0.0017043462926497898,220.0,0.98336403928805,0.0018146083047085662
4,272.0,0.9915105043108265,0.0015707401347315898,272.0,0.9843467821864741,0.0016026527797086808,272.0,0.9848836243332393,0.001696104538509601,272.0,0.9766541525681275,0.0018831161211229307
5,330.0,0.9918887879941656,0.0016101891517078409,330.0,0.9759664868827566,0.0016260543142707072,330.0,0.9825700684464918,0.001769955435482678,330.0,0.9814631267597622,0.001971655334830704
6,395.0,0.9895375260617769,0.0015939095031022854,395.0,0.9711379341579204,0.0016374862596236046,395.0,0.9917657412647449,0.0018559495055619814,395.0,0.9804343789981098,0.0021051010522571876
7,468.0,0.9748759428898647,0.001643038895009059,468.0,0.9686102385213052,0.0016774234109060483,468.0,0.9896839846445169,0.001961317944929468,468.0,0.9932881624269649,0.0024151139859423807
8,548.0,0.991979135878989,0.0017246713341770319,548.0,0.9957241196915897,0.0018352554997247156,548.0,0.9923869066294289,0.0020184421890268394,548.0,0.9804776874131496,0.002565288676651021
9,638.0,0.9811199181828313,0.0017721975741085483,638.0,0.985651030345961,0.0019347268398256779,638.0,0.992386280022135,0.0022161768668361817,638.0,0.994445867649223,0.003063130308463575
10,737.0,0.9933437483861991,0.0018827215141776618,737.0,0.9849001844980203,0.002032357526165895,737.0,0.9822026171035995,0.0023926223875302224,737.0,0.9741391949897499,0.0035231469796097726
11,846.0,0.9833434225141484,0.001999855223700954,846.0,0.9764039925534221,0.0021991754396869963,846.0,1.0014549800132473,0.002647830932529163,846.0,0.988752830445756,0.0042212197801332375
12,967.0,0.9715869523513833,0.0021442864991671807,967.0,0.9923615583422155,0.002390665654311023,967.0,1.0007897963151569,0.0030625543766110088,967.0,0.9872125094660754,0.0055231477308492535
13,1101.0,0.9841708997316446,0.002305855705416434,1101.0,0.9785339423255472,0.0025869486604194305,1101.0,0.9791585463000106,0.0035337543693922365,1101.0,0.9658190258956871,0.00782599201777307
14,1248.0,0.9733192758833785,0.0026074870509425157,1248.0,0.9595505034223848,0.0028575873895880406,1248.0,0.9727979377837129,0.004243808204738146,1248.0,0.9856309107635695,0.010290301427270677
15,1410.0,0.9942546786724329,0.0029345504005477314,1410.0,0.9891628100552552,0.003482991433110328,1410.0,0.9999838858054608,0.0054333455204331775,1410.0,1.03486649815526,0.017903165988674946
16,1588.0,0.9865339922801724,0.003409332354719325,1588.0,0.9929988720166074,0.004038380819526321,1588.0,0.9584387130596905,0.007238542136971855,,,
17,1784.0,0.9650620568135734,0.0040000827136234185,1784.0,0.9681075500579928,0.0049898342574060265,1784.0,1.0012197604942181,0.01040608886719856,,,
18,2000.0,0.9994391409508898,0.004988031313257587,2000.0,0.9567848349566118,0.006287385955356264,2000.0,0.9094258757126729,0.018732266221434476,,,
19,2238.0,0.9745941878941847,0.0061030963928584885,2238.0,1.0287366243501195,0.009038956226149758,,,,,,
20,2500.0,1.0070791879384262,0.008439901067840679,2500.0,1.153687016254571,0.017658039765675183,,,,,,
21,2787.0,0.9689498246466054,0.011584265217017603,,,,,,,,,
