# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d22-x01-y01 /prehadron1.yoda/CMS_2021_I1972986/d22-x01-y01 /posthadron1.yoda/CMS_2021_I1972986/d22-x01-y01
DrawOnly=/CMS_2021_I1972986/d22-x01-y01 /prehadron1.yoda/CMS_2021_I1972986/d22-x01-y01 /posthadron1.yoda/CMS_2021_I1972986/d22-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK7 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/CMS_2021_I1972986/d22-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d22-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d22-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.404400e+04	6.726276e+02	6.726276e+02
1.330000e+02	1.740000e+02	3.098100e+03	1.352294e+02	1.352294e+02
1.740000e+02	2.200000e+02	8.095600e+02	3.432527e+01	3.432527e+01
2.200000e+02	2.720000e+02	2.390300e+02	9.907935e+00	9.907935e+00
2.720000e+02	3.300000e+02	7.810600e+01	3.165197e+00	3.165197e+00
3.300000e+02	3.950000e+02	2.681600e+01	1.069364e+00	1.069364e+00
3.950000e+02	4.680000e+02	9.934400e+00	3.893467e-01	3.893467e-01
4.680000e+02	5.480000e+02	3.687500e+00	1.441437e-01	1.441437e-01
5.480000e+02	6.380000e+02	1.454100e+00	5.722276e-02	5.722276e-02
6.380000e+02	7.370000e+02	5.742300e-01	2.307161e-02	2.307161e-02
7.370000e+02	8.460000e+02	2.317600e-01	9.644725e-03	9.644725e-03
8.460000e+02	9.670000e+02	9.442700e-02	4.119708e-03	4.119708e-03
9.670000e+02	1.101000e+03	3.794800e-02	1.755467e-03	1.755467e-03
1.101000e+03	1.248000e+03	1.538500e-02	7.625307e-04	7.625307e-04
1.248000e+03	1.410000e+03	5.976200e-03	3.214997e-04	3.214997e-04
1.410000e+03	1.588000e+03	2.292400e-03	1.358846e-04	1.358846e-04
1.588000e+03	1.784000e+03	8.588000e-04	5.730079e-05	5.730079e-05
1.784000e+03	2.000000e+03	2.858500e-04	2.268521e-05	2.268521e-05
2.000000e+03	2.238000e+03	9.917600e-05	9.743346e-06	9.743346e-06
2.238000e+03	2.500000e+03	3.234700e-05	4.429502e-06	4.429502e-06
2.500000e+03	2.787000e+03	5.400800e-06	1.772923e-06	1.772923e-06
# END HISTO1D


# BEGIN HISTO1D /prehadron1.yoda/CMS_2021_I1972986/d22-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/prehadron1.yoda/CMS_2021_I1972986/d22-x01-y01
ScaledBy=8.67315040701541901e+07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	8.062586e+03	1.960285e+03	1.960285e+03
1.330000e+02	1.740000e+02	4.122866e+03	9.545087e+02	9.545087e+02
1.740000e+02	2.200000e+02	7.987237e+02	1.525219e+02	1.525219e+02
2.200000e+02	2.720000e+02	2.316194e+02	4.424393e+01	4.424393e+01
2.720000e+02	3.300000e+02	7.129329e+01	2.082036e+01	2.082036e+01
3.300000e+02	3.950000e+02	4.178811e+01	1.150423e+01	1.150423e+01
3.950000e+02	4.680000e+02	6.943692e+00	1.684485e+00	1.684485e+00
4.680000e+02	5.480000e+02	4.143306e+00	9.750845e-01	9.750845e-01
5.480000e+02	6.380000e+02	2.122548e+00	6.962006e-01	6.962006e-01
6.380000e+02	7.370000e+02	7.527624e-01	1.996786e-01	1.996786e-01
7.370000e+02	8.460000e+02	2.280249e-01	7.299733e-02	7.299733e-02
8.460000e+02	9.670000e+02	1.007177e-01	3.545828e-02	3.545828e-02
9.670000e+02	1.101000e+03	8.654134e-02	3.368323e-02	3.368323e-02
1.101000e+03	1.248000e+03	1.415290e-02	4.897882e-03	4.897882e-03
1.248000e+03	1.410000e+03	1.942386e-03	1.240329e-03	1.240329e-03
1.410000e+03	1.588000e+03	1.496005e-03	8.814596e-04	8.814596e-04
1.588000e+03	1.784000e+03	1.108307e-03	7.168656e-04	7.168656e-04
1.784000e+03	2.000000e+03	7.981111e-04	5.315379e-04	5.315379e-04
2.000000e+03	2.238000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.238000e+03	2.500000e+03	7.402092e-05	7.402090e-05	7.402090e-05
2.500000e+03	2.787000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /posthadron1.yoda/CMS_2021_I1972986/d22-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/posthadron1.yoda/CMS_2021_I1972986/d22-x01-y01
ScaledBy=5.11605989339575231e+08
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	2.015125e+04	6.406462e+03	6.406462e+03
1.330000e+02	1.740000e+02	8.116461e+03	3.544188e+03	3.544188e+03
1.740000e+02	2.200000e+02	1.478482e+03	6.797111e+02	6.797111e+02
2.200000e+02	2.720000e+02	3.058246e+02	1.135591e+02	1.135591e+02
2.720000e+02	3.300000e+02	1.853693e+02	7.043398e+01	7.043398e+01
3.300000e+02	3.950000e+02	1.462335e+01	8.153126e+00	8.153126e+00
3.950000e+02	4.680000e+02	7.587389e+00	4.848394e+00	4.848394e+00
4.680000e+02	5.480000e+02	2.177052e+00	1.499633e+00	1.499633e+00
5.480000e+02	6.380000e+02	5.008629e+00	2.053389e+00	2.053389e+00
6.380000e+02	7.370000e+02	1.195554e+00	5.754646e-01	5.754646e-01
7.370000e+02	8.460000e+02	2.110787e-01	1.234717e-01	1.234717e-01
8.460000e+02	9.670000e+02	4.776720e-02	4.776720e-02	4.776720e-02
9.670000e+02	1.101000e+03	1.779407e-02	1.706803e-02	1.706803e-02
1.101000e+03	1.248000e+03	5.205131e-03	5.205131e-03	5.205131e-03
1.248000e+03	1.410000e+03	6.139027e-04	6.139027e-04	6.139027e-04
1.410000e+03	1.588000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.588000e+03	1.784000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.784000e+03	2.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+03	2.238000e+03	4.178666e-04	4.178666e-04	4.178666e-04
2.238000e+03	2.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+03	2.787000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

