# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d04-x01-y01 /merged_posthadron_500M_supp250.yoda/CMS_2021_I1972986/d04-x01-y01 /merged_prehadron_500M_supp250.yoda/CMS_2021_I1972986/d04-x01-y01
DrawOnly=/CMS_2021_I1972986/d04-x01-y01 /merged_posthadron_500M_supp250.yoda/CMS_2021_I1972986/d04-x01-y01 /merged_prehadron_500M_supp250.yoda/CMS_2021_I1972986/d04-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $1.5 < |y| < 2.0$
RatioPlotReference=/CMS_2021_I1972986/d04-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.96
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	6.398100e+03	3.942272e+02	3.942272e+02
1.330000e+02	1.740000e+02	1.433800e+03	7.805702e+01	7.805702e+01
1.740000e+02	2.200000e+02	3.841500e+02	2.010232e+01	2.010232e+01
2.200000e+02	2.720000e+02	1.126000e+02	5.771391e+00	5.771391e+00
2.720000e+02	3.300000e+02	3.567500e+01	1.820850e+00	1.820850e+00
3.300000e+02	3.950000e+02	1.185000e+01	6.111903e-01	6.111903e-01
3.950000e+02	4.680000e+02	4.059300e+00	2.148317e-01	2.148317e-01
4.680000e+02	5.480000e+02	1.391600e+00	7.705394e-02	7.705394e-02
5.480000e+02	6.380000e+02	4.812600e-01	2.826861e-02	2.826861e-02
6.380000e+02	7.370000e+02	1.591400e-01	1.013618e-02	1.013618e-02
7.370000e+02	8.460000e+02	5.135000e-02	3.641620e-03	3.641620e-03
8.460000e+02	9.670000e+02	1.568000e-02	1.277638e-03	1.277638e-03
9.670000e+02	1.101000e+03	4.298700e-03	4.116181e-04	4.116181e-04
1.101000e+03	1.248000e+03	1.083700e-03	1.278146e-04	1.278146e-04
1.248000e+03	1.410000e+03	1.935200e-04	3.001272e-05	3.001272e-05
1.410000e+03	1.588000e+03	4.504500e-05	9.848151e-06	9.848151e-06
# END HISTO1D


# BEGIN HISTO1D /merged_posthadron_500M_supp250.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/merged_posthadron_500M_supp250.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=4.75950687701148649e-07
Titile=PS+MPI+HAD
Title=merged_posthadron_500M_supp250
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	7.457503e+03	1.378501e+02	1.378501e+02
1.330000e+02	1.740000e+02	1.671244e+03	6.899684e+01	6.899684e+01
1.740000e+02	2.200000e+02	4.147035e+02	6.541823e+00	6.541823e+00
2.200000e+02	2.720000e+02	1.148316e+02	1.271084e+00	1.271084e+00
2.720000e+02	3.300000e+02	3.777228e+01	1.174517e+00	1.174517e+00
3.300000e+02	3.950000e+02	1.199031e+01	2.632314e-01	2.632314e-01
3.950000e+02	4.680000e+02	4.073640e+00	7.537353e-02	7.537353e-02
4.680000e+02	5.480000e+02	2.167746e+00	7.652444e-01	7.652444e-01
5.480000e+02	6.380000e+02	4.885938e-01	2.243580e-02	2.243580e-02
6.380000e+02	7.370000e+02	1.549129e-01	6.910212e-03	6.910212e-03
7.370000e+02	8.460000e+02	4.548587e-02	3.058953e-03	3.058953e-03
8.460000e+02	9.670000e+02	1.704000e-02	1.758160e-03	1.758160e-03
9.670000e+02	1.101000e+03	3.820918e-03	7.511123e-04	7.511123e-04
1.101000e+03	1.248000e+03	1.448232e-03	4.387870e-04	4.387870e-04
1.248000e+03	1.410000e+03	2.271701e-04	1.606386e-04	1.606386e-04
1.410000e+03	1.588000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /merged_prehadron_500M_supp250.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/merged_prehadron_500M_supp250.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=3.46219076491080728e-08
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	7.715883e+03	8.506535e+01	8.506535e+01
1.330000e+02	1.740000e+02	1.663039e+03	4.676133e+01	4.676133e+01
1.740000e+02	2.200000e+02	4.212396e+02	3.701358e+00	3.701358e+00
2.200000e+02	2.720000e+02	1.213941e+02	1.437908e+00	1.437908e+00
2.720000e+02	3.300000e+02	3.794129e+01	5.440290e-01	5.440290e-01
3.300000e+02	3.950000e+02	1.220167e+01	7.250373e-02	7.250373e-02
3.950000e+02	4.680000e+02	4.180767e+00	4.802598e-02	4.802598e-02
4.680000e+02	5.480000e+02	1.410360e+00	1.091086e-02	1.091086e-02
5.480000e+02	6.380000e+02	4.887643e-01	4.318043e-03	4.318043e-03
6.380000e+02	7.370000e+02	1.598668e-01	1.901100e-03	1.901100e-03
7.370000e+02	8.460000e+02	5.063917e-02	1.250410e-03	1.250410e-03
8.460000e+02	9.670000e+02	1.695643e-02	4.667101e-04	4.667101e-04
9.670000e+02	1.101000e+03	4.251394e-03	2.198492e-04	2.198492e-04
1.101000e+03	1.248000e+03	1.152630e-03	1.040232e-04	1.040232e-04
1.248000e+03	1.410000e+03	2.292819e-04	4.333427e-05	4.333427e-05
1.410000e+03	1.588000e+03	7.264646e-05	2.297433e-05	2.297433e-05
# END HISTO1D

