# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_HT /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_HT
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_HT /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_HT
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
RatioPlot=1
LogX=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_HT
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_HT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_HT
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.245265e+01	2.520608e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.520608e+01	2.829717e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.829717e+01	3.176733e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.176733e+01	3.566304e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.566304e+01	4.003649e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.003649e+01	4.494627e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.494627e+01	5.045815e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.045815e+01	5.664597e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.664597e+01	6.359261e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.359261e+01	7.139114e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.139114e+01	8.014603e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.014603e+01	8.997455e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.997455e+01	1.010084e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.010084e+02	1.133953e+02	1.935834e-05	1.935834e-05	1.935834e-05
1.133953e+02	1.273013e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.273013e+02	1.429125e+02	1.480948e-05	1.480948e-05	1.480948e-05
1.429125e+02	1.604383e+02	5.873655e-05	3.438229e-05	3.438229e-05
1.604383e+02	1.801133e+02	7.161764e-05	3.598422e-05	3.598422e-05
1.801133e+02	2.022010e+02	5.436564e-05	2.778277e-05	2.778277e-05
2.022010e+02	2.269975e+02	1.501640e-04	4.270610e-05	4.270610e-05
2.269975e+02	2.548348e+02	1.265867e-04	3.762172e-05	3.762172e-05
2.548348e+02	2.860858e+02	2.129664e-04	4.511581e-05	4.511581e-05
2.860858e+02	3.211693e+02	4.564262e-04	6.328804e-05	6.328804e-05
3.211693e+02	3.605551e+02	5.042005e-04	6.014207e-05	6.014207e-05
3.605551e+02	4.047710e+02	6.135365e-04	6.338529e-05	6.338529e-05
4.047710e+02	4.544091e+02	9.165540e-04	7.309045e-05	7.309045e-05
4.544091e+02	5.101345e+02	1.293556e-03	8.283261e-05	8.283261e-05
5.101345e+02	5.726936e+02	1.827426e-03	9.153745e-05	9.153745e-05
5.726936e+02	6.429246e+02	2.508915e-03	1.015442e-04	1.015442e-04
6.429246e+02	7.217681e+02	3.461802e-03	1.124951e-04	1.124951e-04
7.217681e+02	8.102804e+02	5.089603e-03	1.294906e-04	1.294906e-04
8.102804e+02	9.096473e+02	7.416566e-03	1.486550e-04	1.486550e-04
9.096473e+02	1.021200e+03	1.361511e-02	1.936205e-04	1.936205e-04
1.021200e+03	1.146432e+03	3.900031e-02	3.196697e-04	3.196697e-04
