# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_1 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_1
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_1 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_1
Title=Pseudorapidity of leading jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_1
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_1
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	2.626219e-04	2.626219e-04	2.626219e-04
-4.000000e+00	-3.800000e+00	1.546217e-03	1.168677e-03	1.168677e-03
-3.800000e+00	-3.600000e+00	4.599995e-03	2.473029e-03	2.473029e-03
-3.600000e+00	-3.400000e+00	1.326353e-02	4.146948e-03	4.146948e-03
-3.400000e+00	-3.200000e+00	1.738301e-02	4.952824e-03	4.952824e-03
-3.200000e+00	-3.000000e+00	4.735443e-02	8.384360e-03	8.384360e-03
-3.000000e+00	-2.800000e+00	1.028512e-01	1.242949e-02	1.242949e-02
-2.800000e+00	-2.600000e+00	4.893291e-01	2.752026e-02	2.752026e-02
-2.600000e+00	-2.400000e+00	1.745710e+00	5.117866e-02	5.117866e-02
-2.400000e+00	-2.200000e+00	5.208995e+00	8.722478e-02	8.722478e-02
-2.200000e+00	-2.000000e+00	1.187550e+01	1.299565e-01	1.299565e-01
-2.000000e+00	-1.800000e+00	2.145774e+01	1.711657e-01	1.711657e-01
-1.800000e+00	-1.600000e+00	3.228427e+01	2.065171e-01	2.065171e-01
-1.600000e+00	-1.400000e+00	4.451234e+01	2.399187e-01	2.399187e-01
-1.400000e+00	-1.200000e+00	5.681725e+01	2.680920e-01	2.680920e-01
-1.200000e+00	-1.000000e+00	6.801525e+01	2.922428e-01	2.922428e-01
-1.000000e+00	-8.000000e-01	7.667560e+01	3.079303e-01	3.079303e-01
-8.000000e-01	-6.000000e-01	8.487705e+01	3.224105e-01	3.224105e-01
-6.000000e-01	-4.000000e-01	9.021095e+01	3.324365e-01	3.324365e-01
-4.000000e-01	-2.000000e-01	9.383825e+01	3.381038e-01	3.381038e-01
-2.000000e-01	0.000000e+00	9.642395e+01	3.429678e-01	3.429678e-01
0.000000e+00	2.000000e-01	9.655890e+01	3.433100e-01	3.433100e-01
2.000000e-01	4.000000e-01	9.427730e+01	3.390884e-01	3.390884e-01
4.000000e-01	6.000000e-01	8.981140e+01	3.314182e-01	3.314182e-01
6.000000e-01	8.000000e-01	8.448225e+01	3.221022e-01	3.221022e-01
8.000000e-01	1.000000e+00	7.617785e+01	3.068962e-01	3.068962e-01
1.000000e+00	1.200000e+00	6.752215e+01	2.905309e-01	2.905309e-01
1.200000e+00	1.400000e+00	5.640840e+01	2.674394e-01	2.674394e-01
1.400000e+00	1.600000e+00	4.449669e+01	2.394904e-01	2.394904e-01
1.600000e+00	1.800000e+00	3.247637e+01	2.076737e-01	2.076737e-01
1.800000e+00	2.000000e+00	2.092704e+01	1.687186e-01	1.687186e-01
2.000000e+00	2.200000e+00	1.193269e+01	1.300993e-01	1.300993e-01
2.200000e+00	2.400000e+00	5.231280e+00	8.781019e-02	8.781019e-02
2.400000e+00	2.600000e+00	1.790405e+00	5.186793e-02	5.186793e-02
2.600000e+00	2.800000e+00	5.108770e-01	2.796698e-02	2.796698e-02
2.800000e+00	3.000000e+00	1.045327e-01	1.244259e-02	1.244259e-02
3.000000e+00	3.200000e+00	5.197730e-02	8.281122e-03	8.281122e-03
3.200000e+00	3.400000e+00	2.980023e-02	6.310384e-03	6.310384e-03
3.400000e+00	3.600000e+00	1.392292e-02	4.344747e-03	4.344747e-03
3.600000e+00	3.800000e+00	4.985750e-03	2.835828e-03	2.835828e-03
3.800000e+00	4.000000e+00	2.647005e-03	1.741945e-03	1.741945e-03
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	1.604056e-03	1.604056e-03	1.604056e-03
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_1
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_1
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	7.377260e-04	7.377256e-04	7.377256e-04
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	6.189420e-03	4.694463e-03	4.694463e-03
-3.600000e+00	-3.400000e+00	1.311774e-02	7.125346e-03	7.125346e-03
-3.400000e+00	-3.200000e+00	2.297402e-02	9.863516e-03	9.863516e-03
-3.200000e+00	-3.000000e+00	4.405643e-02	1.410251e-02	1.410251e-02
-3.000000e+00	-2.800000e+00	1.185952e-01	2.295714e-02	2.295714e-02
-2.800000e+00	-2.600000e+00	4.951072e-01	4.585020e-02	4.585020e-02
-2.600000e+00	-2.400000e+00	1.778697e+00	8.711548e-02	8.711548e-02
-2.400000e+00	-2.200000e+00	5.094605e+00	1.447585e-01	1.447585e-01
-2.200000e+00	-2.000000e+00	1.225318e+01	2.211156e-01	2.211156e-01
-2.000000e+00	-1.800000e+00	2.163434e+01	2.882750e-01	2.882750e-01
-1.800000e+00	-1.600000e+00	3.238111e+01	3.467658e-01	3.467658e-01
-1.600000e+00	-1.400000e+00	4.496917e+01	4.048404e-01	4.048404e-01
-1.400000e+00	-1.200000e+00	5.678490e+01	4.488140e-01	4.488140e-01
-1.200000e+00	-1.000000e+00	6.842935e+01	4.918106e-01	4.918106e-01
-1.000000e+00	-8.000000e-01	7.618025e+01	5.140180e-01	5.140180e-01
-8.000000e-01	-6.000000e-01	8.460075e+01	5.395417e-01	5.395417e-01
-6.000000e-01	-4.000000e-01	8.992465e+01	5.564097e-01	5.564097e-01
-4.000000e-01	-2.000000e-01	9.405235e+01	5.682271e-01	5.682271e-01
-2.000000e-01	0.000000e+00	9.633725e+01	5.745907e-01	5.745907e-01
0.000000e+00	2.000000e-01	9.627010e+01	5.745644e-01	5.745644e-01
2.000000e-01	4.000000e-01	9.522440e+01	5.713200e-01	5.713200e-01
4.000000e-01	6.000000e-01	9.046915e+01	5.576099e-01	5.576099e-01
6.000000e-01	8.000000e-01	8.457645e+01	5.404096e-01	5.404096e-01
8.000000e-01	1.000000e+00	7.653250e+01	5.161729e-01	5.161729e-01
1.000000e+00	1.200000e+00	6.744405e+01	4.866568e-01	4.866568e-01
1.200000e+00	1.400000e+00	5.605935e+01	4.471697e-01	4.471697e-01
1.400000e+00	1.600000e+00	4.395231e+01	3.989635e-01	3.989635e-01
1.600000e+00	1.800000e+00	3.199892e+01	3.450969e-01	3.450969e-01
1.800000e+00	2.000000e+00	2.111687e+01	2.850542e-01	2.850542e-01
2.000000e+00	2.200000e+00	1.196821e+01	2.182902e-01	2.182902e-01
2.200000e+00	2.400000e+00	5.430975e+00	1.499737e-01	1.499737e-01
2.400000e+00	2.600000e+00	1.911722e+00	9.013161e-02	9.013161e-02
2.600000e+00	2.800000e+00	4.700036e-01	4.498420e-02	4.498420e-02
2.800000e+00	3.000000e+00	9.953830e-02	1.985500e-02	1.985500e-02
3.000000e+00	3.200000e+00	3.454512e-02	1.176962e-02	1.176962e-02
3.200000e+00	3.400000e+00	3.983635e-02	1.226839e-02	1.226839e-02
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	1.507489e-03	1.074116e-03	1.074116e-03
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

