# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_2 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_2
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_2 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_2
Title=Pseudorapidity of second jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_2
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_2
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	3.729484e-03	2.637144e-03	2.637144e-03
-4.200000e+00	-4.000000e+00	3.660766e-03	2.143130e-03	2.143130e-03
-4.000000e+00	-3.800000e+00	5.814465e-03	2.875168e-03	2.875168e-03
-3.800000e+00	-3.600000e+00	2.742753e-02	5.913354e-03	5.913354e-03
-3.600000e+00	-3.400000e+00	2.514641e-02	5.660976e-03	5.660976e-03
-3.400000e+00	-3.200000e+00	5.793765e-02	8.848661e-03	8.848661e-03
-3.200000e+00	-3.000000e+00	1.328745e-01	1.377131e-02	1.377131e-02
-3.000000e+00	-2.800000e+00	3.816786e-01	2.367780e-02	2.367780e-02
-2.800000e+00	-2.600000e+00	1.006248e+00	3.844249e-02	3.844249e-02
-2.600000e+00	-2.400000e+00	2.725213e+00	6.317866e-02	6.317866e-02
-2.400000e+00	-2.200000e+00	6.258015e+00	9.452128e-02	9.452128e-02
-2.200000e+00	-2.000000e+00	1.243886e+01	1.311213e-01	1.311213e-01
-2.000000e+00	-1.800000e+00	2.075092e+01	1.670224e-01	1.670224e-01
-1.800000e+00	-1.600000e+00	3.063778e+01	2.006859e-01	2.006859e-01
-1.600000e+00	-1.400000e+00	4.206030e+01	2.326696e-01	2.326696e-01
-1.400000e+00	-1.200000e+00	5.395190e+01	2.619944e-01	2.619944e-01
-1.200000e+00	-1.000000e+00	6.437420e+01	2.834408e-01	2.834408e-01
-1.000000e+00	-8.000000e-01	7.508065e+01	3.046948e-01	3.046948e-01
-8.000000e-01	-6.000000e-01	8.502885e+01	3.238769e-01	3.238769e-01
-6.000000e-01	-4.000000e-01	9.249845e+01	3.371698e-01	3.371698e-01
-4.000000e-01	-2.000000e-01	9.681645e+01	3.441416e-01	3.441416e-01
-2.000000e-01	0.000000e+00	9.949610e+01	3.484132e-01	3.484132e-01
0.000000e+00	2.000000e-01	9.993465e+01	3.500425e-01	3.500425e-01
2.000000e-01	4.000000e-01	9.689605e+01	3.445089e-01	3.445089e-01
4.000000e-01	6.000000e-01	9.252060e+01	3.372127e-01	3.372127e-01
6.000000e-01	8.000000e-01	8.461540e+01	3.225703e-01	3.225703e-01
8.000000e-01	1.000000e+00	7.588430e+01	3.071197e-01	3.071197e-01
1.000000e+00	1.200000e+00	6.498055e+01	2.848545e-01	2.848545e-01
1.200000e+00	1.400000e+00	5.313065e+01	2.592970e-01	2.592970e-01
1.400000e+00	1.600000e+00	4.178637e+01	2.318716e-01	2.318716e-01
1.600000e+00	1.800000e+00	3.037590e+01	1.992663e-01	1.992663e-01
1.800000e+00	2.000000e+00	2.058628e+01	1.660061e-01	1.660061e-01
2.000000e+00	2.200000e+00	1.225914e+01	1.303479e-01	1.303479e-01
2.200000e+00	2.400000e+00	6.271400e+00	9.417853e-02	9.417853e-02
2.400000e+00	2.600000e+00	2.793503e+00	6.376231e-02	6.376231e-02
2.600000e+00	2.800000e+00	1.007644e+00	3.835364e-02	3.835364e-02
2.800000e+00	3.000000e+00	3.425113e-01	2.248250e-02	2.248250e-02
3.000000e+00	3.200000e+00	1.652703e-01	1.553597e-02	1.553597e-02
3.200000e+00	3.400000e+00	6.368930e-02	9.359840e-03	9.359840e-03
3.400000e+00	3.600000e+00	2.847359e-02	6.362083e-03	6.362083e-03
3.600000e+00	3.800000e+00	1.874357e-02	5.231926e-03	5.231926e-03
3.800000e+00	4.000000e+00	5.772845e-03	2.791470e-03	2.791470e-03
4.000000e+00	4.200000e+00	2.613705e-03	1.848201e-03	1.848201e-03
4.200000e+00	4.400000e+00	2.483238e-04	2.483237e-04	2.483237e-04
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_2
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	5.239885e-03	5.239885e-03	5.239885e-03
-4.200000e+00	-4.000000e+00	7.628000e-03	5.402964e-03	5.402964e-03
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	2.954277e-02	1.014914e-02	1.014914e-02
-3.600000e+00	-3.400000e+00	2.703215e-02	9.545952e-03	9.545952e-03
-3.400000e+00	-3.200000e+00	6.867795e-02	1.595977e-02	1.595977e-02
-3.200000e+00	-3.000000e+00	1.457427e-01	2.439799e-02	2.439799e-02
-3.000000e+00	-2.800000e+00	3.294323e-01	3.665890e-02	3.665890e-02
-2.800000e+00	-2.600000e+00	1.130791e+00	6.825335e-02	6.825335e-02
-2.600000e+00	-2.400000e+00	2.675082e+00	1.055602e-01	1.055602e-01
-2.400000e+00	-2.200000e+00	6.438930e+00	1.614726e-01	1.614726e-01
-2.200000e+00	-2.000000e+00	1.253135e+01	2.213092e-01	2.213092e-01
-2.000000e+00	-1.800000e+00	2.092208e+01	2.819482e-01	2.819482e-01
-1.800000e+00	-1.600000e+00	3.095327e+01	3.373898e-01	3.373898e-01
-1.600000e+00	-1.400000e+00	4.210025e+01	3.892687e-01	3.892687e-01
-1.400000e+00	-1.200000e+00	5.399100e+01	4.392873e-01	4.392873e-01
-1.200000e+00	-1.000000e+00	6.399250e+01	4.731509e-01	4.731509e-01
-1.000000e+00	-8.000000e-01	7.492505e+01	5.089605e-01	5.089605e-01
-8.000000e-01	-6.000000e-01	8.498895e+01	5.426541e-01	5.426541e-01
-6.000000e-01	-4.000000e-01	9.274285e+01	5.663488e-01	5.663488e-01
-4.000000e-01	-2.000000e-01	9.701010e+01	5.784302e-01	5.784302e-01
-2.000000e-01	0.000000e+00	9.897320e+01	5.819792e-01	5.819792e-01
0.000000e+00	2.000000e-01	1.001224e+02	5.876102e-01	5.876102e-01
2.000000e-01	4.000000e-01	9.590065e+01	5.748506e-01	5.748506e-01
4.000000e-01	6.000000e-01	9.184200e+01	5.629165e-01	5.629165e-01
6.000000e-01	8.000000e-01	8.500425e+01	5.421764e-01	5.421764e-01
8.000000e-01	1.000000e+00	7.700650e+01	5.189913e-01	5.189913e-01
1.000000e+00	1.200000e+00	6.448510e+01	4.760502e-01	4.760502e-01
1.200000e+00	1.400000e+00	5.378140e+01	4.375791e-01	4.375791e-01
1.400000e+00	1.600000e+00	4.242063e+01	3.928071e-01	3.928071e-01
1.600000e+00	1.800000e+00	3.033371e+01	3.344225e-01	3.344225e-01
1.800000e+00	2.000000e+00	2.074871e+01	2.799134e-01	2.799134e-01
2.000000e+00	2.200000e+00	1.247533e+01	2.205338e-01	2.205338e-01
2.200000e+00	2.400000e+00	6.072885e+00	1.545965e-01	1.545965e-01
2.400000e+00	2.600000e+00	2.822019e+00	1.078471e-01	1.078471e-01
2.600000e+00	2.800000e+00	1.149780e+00	6.839006e-02	6.839006e-02
2.800000e+00	3.000000e+00	2.933548e-01	3.457037e-02	3.457037e-02
3.000000e+00	3.200000e+00	1.569696e-01	2.488462e-02	2.488462e-02
3.200000e+00	3.400000e+00	5.504340e-02	1.511981e-02	1.511981e-02
3.400000e+00	3.600000e+00	2.648969e-02	9.699103e-03	9.699103e-03
3.600000e+00	3.800000e+00	2.292497e-02	9.229683e-03	9.229683e-03
3.800000e+00	4.000000e+00	6.914620e-03	5.417903e-03	5.417903e-03
4.000000e+00	4.200000e+00	3.692690e-03	3.692690e-03	3.692690e-03
4.200000e+00	4.400000e+00	6.975610e-04	6.975611e-04	6.975611e-04
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

