# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_3 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_3
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_3 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_3
Title=Pseudorapidity of third jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_3
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~3})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_3
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.653682e-01	1.333732e-02	1.333732e-02
-4.600000e+00	-4.200000e+00	6.420335e-01	2.031248e-02	2.031248e-02
-4.200000e+00	-3.800000e+00	1.322433e+00	2.904477e-02	2.904477e-02
-3.800000e+00	-3.400000e+00	2.513953e+00	4.007865e-02	4.007865e-02
-3.400000e+00	-3.000000e+00	4.507780e+00	5.385881e-02	5.385881e-02
-3.000000e+00	-2.600000e+00	7.820265e+00	7.106537e-02	7.106537e-02
-2.600000e+00	-2.200000e+00	1.345462e+01	9.326779e-02	9.326779e-02
-2.200000e+00	-1.800000e+00	2.298237e+01	1.213490e-01	1.213490e-01
-1.800000e+00	-1.400000e+00	3.572460e+01	1.504427e-01	1.504427e-01
-1.400000e+00	-1.000000e+00	5.065028e+01	1.781190e-01	1.781190e-01
-1.000000e+00	-6.000000e-01	6.513178e+01	2.007285e-01	2.007285e-01
-6.000000e-01	-2.000000e-01	7.493770e+01	2.147399e-01	2.147399e-01
-2.000000e-01	2.000000e-01	7.887530e+01	2.201804e-01	2.201804e-01
2.000000e-01	6.000000e-01	7.494825e+01	2.147789e-01	2.147789e-01
6.000000e-01	1.000000e+00	6.481525e+01	2.005815e-01	2.005815e-01
1.000000e+00	1.400000e+00	5.052650e+01	1.779039e-01	1.779039e-01
1.400000e+00	1.800000e+00	3.578395e+01	1.505794e-01	1.505794e-01
1.800000e+00	2.200000e+00	2.285889e+01	1.210023e-01	1.210023e-01
2.200000e+00	2.600000e+00	1.378232e+01	9.429601e-02	9.429601e-02
2.600000e+00	3.000000e+00	7.648505e+00	7.026286e-02	7.026286e-02
