# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_4 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_4
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_4 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_4
Title=Pseudorapidity of fourth jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_4
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~4})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_eta_4
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	5.487262e-01	1.874099e-02	1.874099e-02
-4.600000e+00	-4.200000e+00	1.319135e+00	2.909355e-02	2.909355e-02
-4.200000e+00	-3.800000e+00	2.716870e+00	4.176420e-02	4.176420e-02
-3.800000e+00	-3.400000e+00	4.556573e+00	5.382372e-02	5.382372e-02
-3.400000e+00	-3.000000e+00	7.201143e+00	6.775305e-02	6.775305e-02
-3.000000e+00	-2.600000e+00	1.071613e+01	8.233370e-02	8.233370e-02
-2.600000e+00	-2.200000e+00	1.560275e+01	9.948398e-02	9.948398e-02
-2.200000e+00	-1.800000e+00	2.206333e+01	1.180405e-01	1.180405e-01
-1.800000e+00	-1.400000e+00	3.074437e+01	1.390814e-01	1.390814e-01
-1.400000e+00	-1.000000e+00	4.017055e+01	1.581066e-01	1.581066e-01
-1.000000e+00	-6.000000e-01	4.906022e+01	1.741413e-01	1.741413e-01
-6.000000e-01	-2.000000e-01	5.557747e+01	1.851883e-01	1.851883e-01
-2.000000e-01	2.000000e-01	5.747520e+01	1.880645e-01	1.880645e-01
2.000000e-01	6.000000e-01	5.549005e+01	1.847288e-01	1.847288e-01
6.000000e-01	1.000000e+00	4.899423e+01	1.739704e-01	1.739704e-01
1.000000e+00	1.400000e+00	4.038073e+01	1.586169e-01	1.586169e-01
1.400000e+00	1.800000e+00	3.065590e+01	1.387769e-01	1.387769e-01
1.800000e+00	2.200000e+00	2.231107e+01	1.187221e-01	1.187221e-01
2.200000e+00	2.600000e+00	1.555486e+01	9.941271e-02	9.941271e-02
2.600000e+00	3.000000e+00	1.065845e+01	8.220934e-02	8.220934e-02
3.000000e+00	3.400000e+00	7.256800e+00	6.795870e-02	6.795870e-02
3.400000e+00	3.800000e+00	4.591378e+00	5.409097e-02	5.409097e-02
3.800000e+00	4.200000e+00	2.632295e+00	4.108636e-02	4.108636e-02
4.200000e+00	4.600000e+00	1.375634e+00	2.987013e-02	2.987013e-02
4.600000e+00	5.000000e+00	5.633047e-01	1.912137e-02	1.912137e-02
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_eta_4
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
