# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_1 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_mass_1
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_1 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_mass_1
Title=Mass of first jet
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_1
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
XLabel=$m(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_1
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	4.980239e-02	1.782515e-02	1.782515e-02
1.047129e+00	1.096478e+00	4.539360e-02	1.640221e-02	1.640221e-02
1.096478e+00	1.148154e+00	6.889928e-02	1.912578e-02	1.912578e-02
1.148154e+00	1.202264e+00	1.787107e-01	3.017522e-02	3.017522e-02
1.202264e+00	1.258925e+00	1.749334e-01	2.821019e-02	2.821019e-02
1.258925e+00	1.318257e+00	1.891189e-01	2.980968e-02	2.980968e-02
1.318257e+00	1.380384e+00	2.238103e-01	2.957504e-02	2.957504e-02
1.380384e+00	1.445440e+00	2.126745e-01	2.870073e-02	2.870073e-02
1.445440e+00	1.513561e+00	8.049535e-01	5.556054e-02	5.556054e-02
1.513561e+00	1.584893e+00	3.076672e-01	3.399140e-02	3.399140e-02
1.584893e+00	1.659587e+00	3.298937e-01	3.437916e-02	3.437916e-02
1.659587e+00	1.737801e+00	2.893536e-01	3.061277e-02	3.061277e-02
1.737801e+00	1.819701e+00	3.594961e-01	3.513356e-02	3.513356e-02
1.819701e+00	1.905461e+00	3.044214e-01	3.044111e-02	3.044111e-02
1.905461e+00	1.995262e+00	4.277628e-01	3.583266e-02	3.583266e-02
