# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_2 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_mass_2
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_2 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_mass_2
Title=Mass of second jet
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
XLabel=$m(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_2
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	4.824838e-02	1.109447e-02	1.109447e-02
1.096478e+00	1.202264e+00	9.022568e-02	1.453485e-02	1.453485e-02
1.202264e+00	1.318257e+00	1.626996e-01	1.948338e-02	1.948338e-02
1.318257e+00	1.445440e+00	2.562684e-01	2.305017e-02	2.305017e-02
1.445440e+00	1.584893e+00	6.379312e-01	3.518484e-02	3.518484e-02
1.584893e+00	1.737801e+00	3.032656e-01	2.297598e-02	2.297598e-02
1.737801e+00	1.905461e+00	3.232719e-01	2.300183e-02	2.300183e-02
1.905461e+00	2.089296e+00	3.746840e-01	2.349880e-02	2.349880e-02
2.089296e+00	2.290868e+00	4.017252e-01	2.325243e-02	2.325243e-02
2.290868e+00	2.511886e+00	4.293193e-01	2.241737e-02	2.241737e-02
2.511886e+00	2.754229e+00	5.259120e-01	2.440251e-02	2.440251e-02
2.754229e+00	3.019952e+00	5.851526e-01	2.436104e-02	2.436104e-02
3.019952e+00	3.311311e+00	6.380366e-01	2.426766e-02	2.426766e-02
3.311311e+00	3.630781e+00	7.199653e-01	2.471809e-02	2.471809e-02
3.630781e+00	3.981072e+00	8.227125e-01	2.526826e-02	2.526826e-02
3.981072e+00	4.365158e+00	9.032795e-01	2.520769e-02	2.520769e-02
4.365158e+00	4.786301e+00	9.599697e-01	2.482384e-02	2.482384e-02
4.786301e+00	5.248075e+00	1.390767e+00	2.862749e-02	2.862749e-02
5.248075e+00	5.754399e+00	1.254152e+00	2.573078e-02	2.573078e-02
5.754399e+00	6.309573e+00	1.480332e+00	2.685570e-02	2.685570e-02
6.309573e+00	6.918310e+00	1.697329e+00	2.751914e-02	2.751914e-02
6.918310e+00	7.585776e+00	1.864287e+00	2.747453e-02	2.747453e-02
7.585776e+00	8.317638e+00	2.082588e+00	2.764326e-02	2.764326e-02
8.317638e+00	9.120108e+00	2.349176e+00	2.815515e-02	2.815515e-02
9.120108e+00	1.000000e+01	2.642429e+00	2.844211e-02	2.844211e-02
1.000000e+01	1.096478e+01	2.975239e+00	2.883492e-02	2.883492e-02
1.096478e+01	1.202264e+01	3.318082e+00	2.902098e-02	2.902098e-02
