# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_3 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_mass_3
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_3 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_mass_3
Title=Mass of third jet
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_3
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
XLabel=$m(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_3
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	2.273844e+00	6.208677e-02	6.208677e-02
1.149757e+00	1.321941e+00	3.647428e+00	7.349176e-02	7.349176e-02
1.321941e+00	1.519911e+00	8.525378e+00	1.053159e-01	1.053159e-01
1.519911e+00	1.747528e+00	5.768190e+00	8.035036e-02	8.035036e-02
1.747528e+00	2.009233e+00	6.831161e+00	8.187083e-02	8.187083e-02
2.009233e+00	2.310130e+00	7.888168e+00	8.188550e-02	8.188550e-02
2.310130e+00	2.656088e+00	9.272839e+00	8.280340e-02	8.280340e-02
2.656088e+00	3.053856e+00	1.064788e+01	8.270664e-02	8.270664e-02
3.053856e+00	3.511192e+00	1.176898e+01	8.134105e-02	8.134105e-02
3.511192e+00	4.037017e+00	1.255006e+01	7.814502e-02	7.814502e-02
4.037017e+00	4.641589e+00	1.294786e+01	7.395390e-02	7.395390e-02
4.641589e+00	5.336699e+00	1.506316e+01	7.458283e-02	7.458283e-02
5.336699e+00	6.135907e+00	1.320736e+01	6.510915e-02	6.510915e-02
6.135907e+00	7.054802e+00	1.253756e+01	5.902981e-02	5.902981e-02
7.054802e+00	8.111308e+00	1.211284e+01	5.418383e-02	5.418383e-02
8.111308e+00	9.326033e+00	1.149633e+01	4.928312e-02	4.928312e-02
9.326033e+00	1.072267e+01	1.060747e+01	4.414998e-02	4.414998e-02
1.072267e+01	1.232847e+01	9.807685e+00	3.949612e-02	3.949612e-02
1.232847e+01	1.417474e+01	8.830577e+00	3.492952e-02	3.492952e-02
1.417474e+01	1.629751e+01	7.783439e+00	3.048494e-02	3.048494e-02
1.629751e+01	1.873817e+01	6.673740e+00	2.626969e-02	2.626969e-02
1.873817e+01	2.154435e+01	5.497930e+00	2.211587e-02	2.211587e-02
2.154435e+01	2.477076e+01	4.391299e+00	1.830334e-02	1.830334e-02
2.477076e+01	2.848036e+01	3.377518e+00	1.490780e-02	1.490780e-02
2.848036e+01	3.274549e+01	2.467189e+00	1.177790e-02	1.177790e-02
3.274549e+01	3.764936e+01	1.730765e+00	9.091958e-03	9.091958e-03
3.764936e+01	4.328761e+01	1.117265e+00	6.714307e-03	6.714307e-03
4.328761e+01	4.977024e+01	6.721431e-01	4.749356e-03	4.749356e-03
4.977024e+01	5.722368e+01	3.806127e-01	3.251861e-03	3.251861e-03
5.722368e+01	6.579332e+01	1.896214e-01	2.057981e-03	2.057981e-03
6.579332e+01	7.564633e+01	8.153710e-02	1.196134e-03	1.196134e-03
