# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_4 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_mass_4
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_4 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_mass_4
Title=Mass of fourth jet
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_4
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
XLabel=$m(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_mass_4
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	4.953170e+00	7.857080e-02	7.857080e-02
1.202264e+00	1.445440e+00	8.148617e+00	9.203145e-02	9.203145e-02
1.445440e+00	1.737801e+00	1.499582e+01	1.141036e-01	1.141036e-01
1.737801e+00	2.089296e+00	1.324149e+01	9.771754e-02	9.771754e-02
2.089296e+00	2.511886e+00	1.605089e+01	9.795661e-02	9.795661e-02
2.511886e+00	3.019952e+00	1.886610e+01	9.719055e-02	9.719055e-02
3.019952e+00	3.630781e+00	2.114382e+01	9.370835e-02	9.370835e-02
3.630781e+00	4.365158e+00	2.151968e+01	8.615612e-02	8.615612e-02
4.365158e+00	5.248075e+00	2.256366e+01	8.039175e-02	8.039175e-02
5.248075e+00	6.309573e+00	1.812315e+01	6.564689e-02	6.564689e-02
6.309573e+00	7.585776e+00	1.505557e+01	5.460253e-02	5.460253e-02
7.585776e+00	9.120108e+00	1.197169e+01	4.428933e-02	4.428933e-02
9.120108e+00	1.096478e+01	9.290508e+00	3.548295e-02	3.548295e-02
1.096478e+01	1.318257e+01	6.881815e+00	2.775901e-02	2.775901e-02
1.318257e+01	1.584893e+01	4.882113e+00	2.123963e-02	2.123963e-02
