# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_2 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_2
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_2 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_2
Title=Transverse momentum of second jet
RatioPlot=1
LogX=1
LogY=1
RatioPlotYLabel=Ratio
XMin=20.0
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_2
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_2
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.113566e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.113566e+01	1.240029e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240029e+01	1.380853e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380853e+01	1.537671e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.537671e+01	1.712297e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.712297e+01	1.906756e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.906756e+01	2.123298e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.123298e+01	2.364431e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.364431e+01	2.632950e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.632950e+01	2.931963e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.931963e+01	3.264933e+01	7.803403e-05	7.803405e-05	7.803405e-05
3.264933e+01	3.635717e+01	1.437532e-04	1.058543e-04	1.058543e-04
3.635717e+01	4.048610e+01	3.193978e-04	1.625335e-04	1.625335e-04
4.048610e+01	4.508393e+01	3.837967e-04	1.602046e-04	1.602046e-04
4.508393e+01	5.020392e+01	2.362120e-04	1.137252e-04	1.137252e-04
5.020392e+01	5.590536e+01	1.019562e-03	2.460912e-04	2.460912e-04
5.590536e+01	6.225429e+01	8.690318e-04	1.998290e-04	1.998290e-04
6.225429e+01	6.932425e+01	1.537924e-03	2.586350e-04	2.586350e-04
6.932425e+01	7.719710e+01	2.095323e-03	2.771565e-04	2.771565e-04
7.719710e+01	8.596404e+01	2.730259e-03	3.010133e-04	3.010133e-04
8.596404e+01	9.572661e+01	3.941484e-03	3.432284e-04	3.432284e-04
9.572661e+01	1.065979e+02	4.532092e-03	3.430142e-04	3.430142e-04
1.065979e+02	1.187037e+02	6.720310e-03	4.012535e-04	4.012535e-04
1.187037e+02	1.321844e+02	9.814179e-03	4.602889e-04	4.602889e-04
1.321844e+02	1.471960e+02	1.192823e-02	4.806268e-04	4.806268e-04
1.471960e+02	1.639124e+02	1.623176e-02	5.320657e-04	5.320657e-04
1.639124e+02	1.825273e+02	2.532735e-02	6.345976e-04	6.345976e-04
1.825273e+02	2.032561e+02	4.021431e-02	7.642221e-04	7.642221e-04
2.032561e+02	2.263390e+02	6.440815e-02	9.218224e-04	9.218224e-04
2.263390e+02	2.520434e+02	1.028633e-01	1.104457e-03	1.104457e-03
2.520434e+02	2.806668e+02	1.689836e-01	1.336784e-03	1.336784e-03
2.806668e+02	3.125410e+02	2.595673e-01	1.567733e-03	1.567733e-03
3.125410e+02	3.480349e+02	3.753301e-01	1.767990e-03	1.767990e-03
3.480349e+02	3.875597e+02	4.482464e-01	1.795740e-03	1.795740e-03
3.875597e+02	4.315732e+02	4.815263e-01	1.735620e-03	1.735620e-03
4.315732e+02	4.805851e+02	5.009522e-01	1.664996e-03	1.664996e-03
4.805851e+02	5.351631e+02	5.522929e-01	1.666736e-03	1.666736e-03
5.351631e+02	5.959393e+02	7.426330e-01	1.881793e-03	1.881793e-03
5.959393e+02	6.636175e+02	6.844641e-01	1.607737e-03	1.607737e-03
6.636175e+02	7.389817e+02	3.436058e-01	9.099452e-04	9.099452e-04
7.389817e+02	8.229047e+02	1.690958e-01	5.173292e-04	5.173292e-04
8.229047e+02	9.163584e+02	8.179524e-02	2.965749e-04	2.965749e-04
9.163584e+02	1.020425e+03	3.841670e-02	1.699456e-04	1.699456e-04
1.020425e+03	1.136311e+03	1.788035e-02	9.847528e-05	9.847528e-05
1.136311e+03	1.265356e+03	7.969817e-03	5.668452e-05	5.668452e-05
1.265356e+03	1.409058e+03	3.456637e-03	3.244965e-05	3.244965e-05
1.409058e+03	1.569078e+03	1.472096e-03	1.868228e-05	1.868228e-05
1.569078e+03	1.747272e+03	5.727611e-04	1.042869e-05	1.042869e-05
1.747272e+03	1.945702e+03	2.264481e-04	5.898232e-06	5.898232e-06
1.945702e+03	2.166667e+03	7.677311e-05	3.115867e-06	3.115867e-06
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_2
ScaledBy=2.03839766012782301e-06
