# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_3 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_3
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_3 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_3
Title=Transverse momentum of third jet
RatioPlot=1
LogX=1
LogY=1
RatioPlotYLabel=Ratio
XMin=20.0
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_3
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_3
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	6.934615e-01	7.550387e-03	7.550387e-03
2.162608e+01	2.523326e+01	1.312088e+00	9.638168e-03	9.638168e-03
2.523326e+01	2.944211e+01	1.308331e+00	8.894889e-03	8.894889e-03
2.944211e+01	3.435298e+01	1.266901e+00	8.100225e-03	8.100225e-03
3.435298e+01	4.008298e+01	1.233996e+00	7.408473e-03	7.408473e-03
4.008298e+01	4.676873e+01	1.180428e+00	6.710384e-03	6.710384e-03
4.676873e+01	5.456964e+01	1.133148e+00	6.103943e-03	6.103943e-03
5.456964e+01	6.367173e+01	1.053321e+00	5.437367e-03	5.437367e-03
6.367173e+01	7.429203e+01	9.920191e-01	4.890775e-03	4.890775e-03
7.429203e+01	8.668377e+01	9.327964e-01	4.405820e-03	4.405820e-03
8.668377e+01	1.011424e+02	8.751562e-01	3.950512e-03	3.950512e-03
1.011424e+02	1.180127e+02	8.419495e-01	3.600970e-03	3.600970e-03
1.180127e+02	1.376970e+02	8.062019e-01	3.270415e-03	3.270415e-03
1.376970e+02	1.606645e+02	7.842081e-01	2.996281e-03	2.996281e-03
1.606645e+02	1.874630e+02	7.629733e-01	2.739597e-03	2.739597e-03
1.874630e+02	2.187314e+02	7.285525e-01	2.469485e-03	2.469485e-03
2.187314e+02	2.552153e+02	6.596400e-01	2.157755e-03	2.157755e-03
2.552153e+02	2.977846e+02	5.224063e-01	1.739316e-03	1.739316e-03
2.977846e+02	3.474544e+02	3.191644e-01	1.186179e-03	1.186179e-03
3.474544e+02	4.054090e+02	1.457881e-01	6.787707e-04	6.787707e-04
4.054090e+02	4.730302e+02	6.053176e-02	3.764158e-04	3.764158e-04
4.730302e+02	5.519306e+02	2.126734e-02	1.891730e-04	1.891730e-04
5.519306e+02	6.439913e+02	6.901794e-03	9.127358e-05	9.127358e-05
6.439913e+02	7.514076e+02	2.029915e-03	4.158862e-05	4.158862e-05
7.514076e+02	8.767406e+02	5.337617e-04	1.785672e-05	1.785672e-05
8.767406e+02	1.022979e+03	1.184814e-04	6.945200e-06	6.945200e-06
1.022979e+03	1.193609e+03	2.130608e-05	2.507973e-06	2.507973e-06
1.193609e+03	1.392701e+03	4.390000e-06	8.222326e-07	8.222326e-07
1.392701e+03	1.625000e+03	3.525088e-07	2.111411e-07	2.111411e-07
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_3
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	6.740299e-01	1.246424e-02	1.246424e-02
2.162608e+01	2.523326e+01	1.340572e+00	1.636603e-02	1.636603e-02
2.523326e+01	2.944211e+01	1.298037e+00	1.490725e-02	1.490725e-02
2.944211e+01	3.435298e+01	1.272893e+00	1.362424e-02	1.362424e-02
3.435298e+01	4.008298e+01	1.225934e+00	1.235083e-02	1.235083e-02
4.008298e+01	4.676873e+01	1.178649e+00	1.123428e-02	1.123428e-02
4.676873e+01	5.456964e+01	1.141359e+00	1.027003e-02	1.027003e-02
5.456964e+01	6.367173e+01	1.057636e+00	9.134868e-03	9.134868e-03
6.367173e+01	7.429203e+01	9.843281e-01	8.148845e-03	8.148845e-03
7.429203e+01	8.668377e+01	9.441878e-01	7.438142e-03	7.438142e-03
8.668377e+01	1.011424e+02	8.741257e-01	6.624067e-03	6.624067e-03
1.011424e+02	1.180127e+02	8.519214e-01	6.074610e-03	6.074610e-03
1.180127e+02	1.376970e+02	8.083376e-01	5.488791e-03	5.488791e-03
1.376970e+02	1.606645e+02	7.868980e-01	5.039205e-03	5.039205e-03
1.606645e+02	1.874630e+02	7.600104e-01	4.578291e-03	4.578291e-03
1.874630e+02	2.187314e+02	7.254174e-01	4.129268e-03	4.129268e-03
2.187314e+02	2.552153e+02	6.595718e-01	3.615086e-03	3.615086e-03
2.552153e+02	2.977846e+02	5.214286e-01	2.915750e-03	2.915750e-03
2.977846e+02	3.474544e+02	3.205437e-01	1.994471e-03	1.994471e-03
3.474544e+02	4.054090e+02	1.453696e-01	1.134984e-03	1.134984e-03
4.054090e+02	4.730302e+02	6.085692e-02	6.308878e-04	6.308878e-04
4.730302e+02	5.519306e+02	2.096400e-02	3.146055e-04	3.146055e-04
5.519306e+02	6.439913e+02	6.741846e-03	1.512491e-04	1.512491e-04
6.439913e+02	7.514076e+02	1.994805e-03	6.823858e-05	6.823858e-05
7.514076e+02	8.767406e+02	5.355445e-04	2.963434e-05	2.963434e-05
8.767406e+02	1.022979e+03	1.294594e-04	1.193245e-05	1.193245e-05
1.022979e+03	1.193609e+03	2.229298e-05	3.883731e-06	3.883731e-06
1.193609e+03	1.392701e+03	5.012147e-06	1.485719e-06	1.485719e-06
1.392701e+03	1.625000e+03	2.586082e-07	2.586082e-07	2.586082e-07
# END HISTO1D

