# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_4 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_4
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_4 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_4
Title=Transverse momentum of fourth jet
RatioPlot=1
LogX=1
LogY=1
RatioPlotYLabel=Ratio
XMin=20.0
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_4
XLabel=$p_\perp(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~4})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_pT_4
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.214948e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.214948e+01	1.476099e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.476099e+01	1.793384e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.793384e+01	2.178868e+01	1.568073e+00	1.017063e-02	1.017063e-02
2.178868e+01	2.647212e+01	3.194267e+00	1.317403e-02	1.317403e-02
2.647212e+01	3.216225e+01	2.885477e+00	1.134455e-02	1.134455e-02
3.216225e+01	3.907546e+01	2.566793e+00	9.704649e-03	9.704649e-03
3.907546e+01	4.747466e+01	2.222385e+00	8.188448e-03	8.188448e-03
4.747466e+01	5.767925e+01	1.884227e+00	6.837271e-03	6.837271e-03
5.767925e+01	7.007730e+01	1.578589e+00	5.682043e-03	5.682043e-03
7.007730e+01	8.514028e+01	1.291523e+00	4.663910e-03	4.663910e-03
8.514028e+01	1.034410e+02	1.032724e+00	3.779289e-03	3.779289e-03
1.034410e+02	1.256755e+02	8.025523e-01	3.011417e-03	3.011417e-03
1.256755e+02	1.526892e+02	5.874486e-01	2.327980e-03	2.327980e-03
1.526892e+02	1.855094e+02	3.958909e-01	1.712850e-03	1.712850e-03
1.855094e+02	2.253843e+02	2.266886e-01	1.144649e-03	1.144649e-03
2.253843e+02	2.738303e+02	1.075447e-01	6.902606e-04	6.902606e-04
2.738303e+02	3.326896e+02	4.025411e-02	3.578537e-04	3.578537e-04
3.326896e+02	4.042006e+02	1.156223e-02	1.612244e-04	1.612244e-04
4.042006e+02	4.910828e+02	2.747352e-03	6.428545e-05	6.428545e-05
4.910828e+02	5.966401e+02	5.269021e-04	2.278340e-05	2.278340e-05
5.966401e+02	7.248867e+02	7.413718e-05	5.914347e-06	5.914347e-06
7.248867e+02	8.806998e+02	1.498596e-05	3.194312e-06	3.194312e-06
8.806998e+02	1.070005e+03	1.237877e-06	4.827596e-07	4.827596e-07
1.070005e+03	1.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_pT_4
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.214948e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.214948e+01	1.476099e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.476099e+01	1.793384e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.793384e+01	2.178868e+01	1.589238e+00	1.719129e-02	1.719129e-02
2.178868e+01	2.647212e+01	3.194163e+00	2.207026e-02	2.207026e-02
2.647212e+01	3.216225e+01	2.862214e+00	1.891724e-02	1.891724e-02
3.216225e+01	3.907546e+01	2.579789e+00	1.634102e-02	1.634102e-02
3.907546e+01	4.747466e+01	2.227023e+00	1.371600e-02	1.371600e-02
4.747466e+01	5.767925e+01	1.882907e+00	1.146339e-02	1.146339e-02
5.767925e+01	7.007730e+01	1.577920e+00	9.526320e-03	9.526320e-03
7.007730e+01	8.514028e+01	1.292930e+00	7.828713e-03	7.828713e-03
8.514028e+01	1.034410e+02	1.036743e+00	6.335196e-03	6.335196e-03
1.034410e+02	1.256755e+02	8.051200e-01	5.054813e-03	5.054813e-03
1.256755e+02	1.526892e+02	5.851283e-01	3.903689e-03	3.903689e-03
1.526892e+02	1.855094e+02	3.961170e-01	2.870199e-03	2.870199e-03
1.855094e+02	2.253843e+02	2.263033e-01	1.917778e-03	1.917778e-03
2.253843e+02	2.738303e+02	1.072418e-01	1.155723e-03	1.155723e-03
2.738303e+02	3.326896e+02	4.074364e-02	6.029253e-04	6.029253e-04
3.326896e+02	4.042006e+02	1.155651e-02	2.720825e-04	2.720825e-04
