# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_1 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_1
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_1 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_1
Title=Rapidity of first jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_1
LegendXPos=0.3
XLabel=$y(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~1})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_1
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	2.626219e-04	2.626219e-04	2.626219e-04
-4.000000e+00	-3.800000e+00	1.546217e-03	1.168677e-03	1.168677e-03
-3.800000e+00	-3.600000e+00	4.599995e-03	2.473029e-03	2.473029e-03
-3.600000e+00	-3.400000e+00	1.223080e-02	4.016296e-03	4.016296e-03
-3.400000e+00	-3.200000e+00	1.584852e-02	4.613976e-03	4.613976e-03
-3.200000e+00	-3.000000e+00	4.992166e-02	8.637461e-03	8.637461e-03
-3.000000e+00	-2.800000e+00	9.375080e-02	1.173460e-02	1.173460e-02
-2.800000e+00	-2.600000e+00	4.939940e-01	2.770140e-02	2.770140e-02
-2.600000e+00	-2.400000e+00	1.722425e+00	5.087431e-02	5.087431e-02
-2.400000e+00	-2.200000e+00	5.124015e+00	8.651701e-02	8.651701e-02
-2.200000e+00	-2.000000e+00	1.177042e+01	1.293663e-01	1.293663e-01
-2.000000e+00	-1.800000e+00	2.132984e+01	1.707090e-01	1.707090e-01
-1.800000e+00	-1.600000e+00	3.210496e+01	2.060012e-01	2.060012e-01
-1.600000e+00	-1.400000e+00	4.439412e+01	2.396481e-01	2.396481e-01
-1.400000e+00	-1.200000e+00	5.660190e+01	2.675405e-01	2.675405e-01
-1.200000e+00	-1.000000e+00	6.797540e+01	2.922268e-01	2.922268e-01
-1.000000e+00	-8.000000e-01	7.670305e+01	3.079711e-01	3.079711e-01
-8.000000e-01	-6.000000e-01	8.490165e+01	3.224540e-01	3.224540e-01
-6.000000e-01	-4.000000e-01	9.043415e+01	3.328600e-01	3.328600e-01
-4.000000e-01	-2.000000e-01	9.413420e+01	3.386757e-01	3.386757e-01
-2.000000e-01	0.000000e+00	9.675130e+01	3.435436e-01	3.435436e-01
0.000000e+00	2.000000e-01	9.689760e+01	3.439207e-01	3.439207e-01
2.000000e-01	4.000000e-01	9.458605e+01	3.396761e-01	3.396761e-01
4.000000e-01	6.000000e-01	8.991595e+01	3.315992e-01	3.315992e-01
6.000000e-01	8.000000e-01	8.466375e+01	3.224834e-01	3.224834e-01
8.000000e-01	1.000000e+00	7.616240e+01	3.068751e-01	3.068751e-01
1.000000e+00	1.200000e+00	6.740760e+01	2.902965e-01	2.902965e-01
1.200000e+00	1.400000e+00	5.624765e+01	2.670551e-01	2.670551e-01
1.400000e+00	1.600000e+00	4.436496e+01	2.391590e-01	2.391590e-01
1.600000e+00	1.800000e+00	3.233016e+01	2.072495e-01	2.072495e-01
1.800000e+00	2.000000e+00	2.075954e+01	1.680864e-01	1.680864e-01
2.000000e+00	2.200000e+00	1.182901e+01	1.295289e-01	1.295289e-01
2.200000e+00	2.400000e+00	5.182495e+00	8.740432e-02	8.740432e-02
2.400000e+00	2.600000e+00	1.761847e+00	5.149580e-02	5.149580e-02
2.600000e+00	2.800000e+00	4.968269e-01	2.756906e-02	2.756906e-02
2.800000e+00	3.000000e+00	1.030768e-01	1.236196e-02	1.236196e-02
3.000000e+00	3.200000e+00	5.341685e-02	8.432861e-03	8.432861e-03
3.200000e+00	3.400000e+00	2.758324e-02	6.056439e-03	6.056439e-03
3.400000e+00	3.600000e+00	1.392292e-02	4.344747e-03	4.344747e-03
3.600000e+00	3.800000e+00	4.985750e-03	2.835828e-03	2.835828e-03
3.800000e+00	4.000000e+00	2.647005e-03	1.741945e-03	1.741945e-03
4.000000e+00	4.200000e+00	1.604056e-03	1.604056e-03	1.604056e-03
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_1
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_1
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	7.377260e-04	7.377256e-04	7.377256e-04
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	6.189420e-03	4.694463e-03	4.694463e-03
-3.600000e+00	-3.400000e+00	1.311774e-02	7.125346e-03	7.125346e-03
-3.400000e+00	-3.200000e+00	2.297402e-02	9.863516e-03	9.863516e-03
-3.200000e+00	-3.000000e+00	4.405643e-02	1.410251e-02	1.410251e-02
-3.000000e+00	-2.800000e+00	9.820360e-02	2.052517e-02	2.052517e-02
-2.800000e+00	-2.600000e+00	5.022585e-01	4.632934e-02	4.632934e-02
-2.600000e+00	-2.400000e+00	1.765721e+00	8.692293e-02	8.692293e-02
-2.400000e+00	-2.200000e+00	4.975622e+00	1.429703e-01	1.429703e-01
-2.200000e+00	-2.000000e+00	1.221145e+01	2.207260e-01	2.207260e-01
-2.000000e+00	-1.800000e+00	2.145985e+01	2.872072e-01	2.872072e-01
-1.800000e+00	-1.600000e+00	3.217224e+01	3.457405e-01	3.457405e-01
-1.600000e+00	-1.400000e+00	4.490148e+01	4.046373e-01	4.046373e-01
-1.400000e+00	-1.200000e+00	5.658015e+01	4.479645e-01	4.479645e-01
-1.200000e+00	-1.000000e+00	6.835320e+01	4.917039e-01	4.917039e-01
-1.000000e+00	-8.000000e-01	7.625300e+01	5.142115e-01	5.142115e-01
-8.000000e-01	-6.000000e-01	8.460460e+01	5.394886e-01	5.394886e-01
-6.000000e-01	-4.000000e-01	9.008340e+01	5.569331e-01	5.569331e-01
-4.000000e-01	-2.000000e-01	9.442185e+01	5.694047e-01	5.694047e-01
-2.000000e-01	0.000000e+00	9.665125e+01	5.755239e-01	5.755239e-01
0.000000e+00	2.000000e-01	9.663425e+01	5.756620e-01	5.756620e-01
2.000000e-01	4.000000e-01	9.555270e+01	5.723718e-01	5.723718e-01
4.000000e-01	6.000000e-01	9.056875e+01	5.578654e-01	5.578654e-01
6.000000e-01	8.000000e-01	8.464960e+01	5.407180e-01	5.407180e-01
8.000000e-01	1.000000e+00	7.649580e+01	5.160017e-01	5.160017e-01
1.000000e+00	1.200000e+00	6.744640e+01	4.867133e-01	4.867133e-01
1.200000e+00	1.400000e+00	5.583570e+01	4.462366e-01	4.462366e-01
1.400000e+00	1.600000e+00	4.389956e+01	3.989231e-01	3.989231e-01
1.600000e+00	1.800000e+00	3.188293e+01	3.445715e-01	3.445715e-01
1.800000e+00	2.000000e+00	2.085831e+01	2.832182e-01	2.832182e-01
2.000000e+00	2.200000e+00	1.187577e+01	2.175180e-01	2.175180e-01
2.200000e+00	2.400000e+00	5.389215e+00	1.493692e-01	1.493692e-01
2.400000e+00	2.600000e+00	1.884008e+00	8.961899e-02	8.961899e-02
2.600000e+00	2.800000e+00	4.546030e-01	4.414217e-02	4.414217e-02
2.800000e+00	3.000000e+00	9.706120e-02	1.969987e-02	1.969987e-02
3.000000e+00	3.200000e+00	3.601740e-02	1.186134e-02	1.186134e-02
3.200000e+00	3.400000e+00	3.836407e-02	1.217973e-02	1.217973e-02
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	1.507489e-03	1.074116e-03	1.074116e-03
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

