# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_2 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_2
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_2 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_2
Title=Rapidity of second jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_2
LegendXPos=0.3
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_2
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	3.729484e-03	2.637144e-03	2.637144e-03
-4.200000e+00	-4.000000e+00	2.715481e-03	1.923393e-03	1.923393e-03
-4.000000e+00	-3.800000e+00	6.759750e-03	3.026575e-03	3.026575e-03
-3.800000e+00	-3.600000e+00	2.742753e-02	5.913354e-03	5.913354e-03
-3.600000e+00	-3.400000e+00	2.514641e-02	5.660976e-03	5.660976e-03
-3.400000e+00	-3.200000e+00	5.254110e-02	8.395582e-03	8.395582e-03
-3.200000e+00	-3.000000e+00	1.328200e-01	1.369121e-02	1.369121e-02
-3.000000e+00	-2.800000e+00	3.745685e-01	2.349656e-02	2.349656e-02
-2.800000e+00	-2.600000e+00	9.811970e-01	3.795134e-02	3.795134e-02
-2.600000e+00	-2.400000e+00	2.673563e+00	6.259175e-02	6.259175e-02
-2.400000e+00	-2.200000e+00	6.187220e+00	9.402879e-02	9.402879e-02
-2.200000e+00	-2.000000e+00	1.233306e+01	1.305962e-01	1.305962e-01
-2.000000e+00	-1.800000e+00	2.053647e+01	1.661523e-01	1.661523e-01
-1.800000e+00	-1.600000e+00	3.047437e+01	2.002050e-01	2.002050e-01
-1.600000e+00	-1.400000e+00	4.187752e+01	2.321631e-01	2.321631e-01
-1.400000e+00	-1.200000e+00	5.367835e+01	2.613326e-01	2.613326e-01
-1.200000e+00	-1.000000e+00	6.437700e+01	2.834670e-01	2.834670e-01
-1.000000e+00	-8.000000e-01	7.499215e+01	3.045446e-01	3.045446e-01
-8.000000e-01	-6.000000e-01	8.510005e+01	3.240260e-01	3.240260e-01
-6.000000e-01	-4.000000e-01	9.281045e+01	3.377999e-01	3.377999e-01
-4.000000e-01	-2.000000e-01	9.717800e+01	3.447657e-01	3.447657e-01
-2.000000e-01	0.000000e+00	9.993705e+01	3.492007e-01	3.492007e-01
0.000000e+00	2.000000e-01	1.003717e+02	3.507999e-01	3.507999e-01
2.000000e-01	4.000000e-01	9.721950e+01	3.450965e-01	3.450965e-01
4.000000e-01	6.000000e-01	9.281620e+01	3.377833e-01	3.377833e-01
6.000000e-01	8.000000e-01	8.477545e+01	3.229209e-01	3.229209e-01
8.000000e-01	1.000000e+00	7.575975e+01	3.068354e-01	3.068354e-01
1.000000e+00	1.200000e+00	6.484250e+01	2.845743e-01	2.845743e-01
1.200000e+00	1.400000e+00	5.301875e+01	2.590700e-01	2.590700e-01
1.400000e+00	1.600000e+00	4.158991e+01	2.313248e-01	2.313248e-01
1.600000e+00	1.800000e+00	3.019679e+01	1.987230e-01	1.987230e-01
1.800000e+00	2.000000e+00	2.040409e+01	1.653086e-01	1.653086e-01
2.000000e+00	2.200000e+00	1.212296e+01	1.296461e-01	1.296461e-01
2.200000e+00	2.400000e+00	6.178045e+00	9.341433e-02	9.341433e-02
2.400000e+00	2.600000e+00	2.769771e+00	6.353843e-02	6.353843e-02
2.600000e+00	2.800000e+00	9.805205e-01	3.787934e-02	3.787934e-02
2.800000e+00	3.000000e+00	3.428517e-01	2.250034e-02	2.250034e-02
3.000000e+00	3.200000e+00	1.637330e-01	1.544356e-02	1.544356e-02
3.200000e+00	3.400000e+00	6.139135e-02	9.217654e-03	9.217654e-03
3.400000e+00	3.600000e+00	2.847359e-02	6.362083e-03	6.362083e-03
3.600000e+00	3.800000e+00	1.874357e-02	5.231926e-03	5.231926e-03
3.800000e+00	4.000000e+00	5.772845e-03	2.791470e-03	2.791470e-03
4.000000e+00	4.200000e+00	2.613705e-03	1.848201e-03	1.848201e-03
4.200000e+00	4.400000e+00	2.483238e-04	2.483237e-04	2.483237e-04
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_2
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	5.239885e-03	5.239885e-03	5.239885e-03
-4.200000e+00	-4.000000e+00	7.628000e-03	5.402964e-03	5.402964e-03
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	2.954277e-02	1.014914e-02	1.014914e-02
-3.600000e+00	-3.400000e+00	2.703215e-02	9.545952e-03	9.545952e-03
-3.400000e+00	-3.200000e+00	6.290005e-02	1.542266e-02	1.542266e-02
-3.200000e+00	-3.000000e+00	1.460234e-01	2.412257e-02	2.412257e-02
-3.000000e+00	-2.800000e+00	3.275322e-01	3.667664e-02	3.667664e-02
-2.800000e+00	-2.600000e+00	1.096369e+00	6.722460e-02	6.722460e-02
-2.600000e+00	-2.400000e+00	2.648040e+00	1.050794e-01	1.050794e-01
-2.400000e+00	-2.200000e+00	6.340340e+00	1.602717e-01	1.602717e-01
-2.200000e+00	-2.000000e+00	1.242401e+01	2.205292e-01	2.205292e-01
-2.000000e+00	-1.800000e+00	2.068492e+01	2.801846e-01	2.801846e-01
-1.800000e+00	-1.600000e+00	3.084032e+01	3.370050e-01	3.370050e-01
-1.600000e+00	-1.400000e+00	4.191567e+01	3.884120e-01	3.884120e-01
-1.400000e+00	-1.200000e+00	5.375170e+01	4.382181e-01	4.382181e-01
-1.200000e+00	-1.000000e+00	6.400815e+01	4.733059e-01	4.733059e-01
-1.000000e+00	-8.000000e-01	7.478385e+01	5.085536e-01	5.085536e-01
-8.000000e-01	-6.000000e-01	8.513085e+01	5.430207e-01	5.430207e-01
-6.000000e-01	-4.000000e-01	9.289920e+01	5.669264e-01	5.669264e-01
-4.000000e-01	-2.000000e-01	9.744535e+01	5.797467e-01	5.797467e-01
-2.000000e-01	0.000000e+00	9.941395e+01	5.833061e-01	5.833061e-01
0.000000e+00	2.000000e-01	1.005371e+02	5.887860e-01	5.887860e-01
2.000000e-01	4.000000e-01	9.631835e+01	5.761883e-01	5.761883e-01
4.000000e-01	6.000000e-01	9.214515e+01	5.639071e-01	5.639071e-01
6.000000e-01	8.000000e-01	8.509690e+01	5.424318e-01	5.424318e-01
8.000000e-01	1.000000e+00	7.680960e+01	5.184127e-01	5.184127e-01
1.000000e+00	1.200000e+00	6.442485e+01	4.758813e-01	4.758813e-01
1.200000e+00	1.400000e+00	5.363720e+01	4.370144e-01	4.370144e-01
1.400000e+00	1.600000e+00	4.221745e+01	3.918133e-01	3.918133e-01
1.600000e+00	1.800000e+00	3.020733e+01	3.339449e-01	3.339449e-01
1.800000e+00	2.000000e+00	2.050320e+01	2.782009e-01	2.782009e-01
2.000000e+00	2.200000e+00	1.237740e+01	2.196689e-01	2.196689e-01
2.200000e+00	2.400000e+00	5.982060e+00	1.532864e-01	1.532864e-01
2.400000e+00	2.600000e+00	2.794635e+00	1.074548e-01	1.074548e-01
2.600000e+00	2.800000e+00	1.121443e+00	6.752277e-02	6.752277e-02
2.800000e+00	3.000000e+00	2.861496e-01	3.427873e-02	3.427873e-02
3.000000e+00	3.200000e+00	1.602635e-01	2.510168e-02	2.510168e-02
3.200000e+00	3.400000e+00	5.174950e-02	1.475665e-02	1.475665e-02
3.400000e+00	3.600000e+00	2.648969e-02	9.699103e-03	9.699103e-03
3.600000e+00	3.800000e+00	2.292497e-02	9.229683e-03	9.229683e-03
3.800000e+00	4.000000e+00	6.914620e-03	5.417903e-03	5.417903e-03
4.000000e+00	4.200000e+00	3.692690e-03	3.692690e-03	3.692690e-03
4.200000e+00	4.400000e+00	6.975610e-04	6.975611e-04	6.975611e-04
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

