# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_3 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_3
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_3 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_3
Title=Rapidity of third jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_3
LegendXPos=0.3
XLabel=$y(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~3})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_3
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.614082e-01	1.326038e-02	1.326038e-02
-4.600000e+00	-4.200000e+00	6.336153e-01	2.017724e-02	2.017724e-02
-4.200000e+00	-3.800000e+00	1.311942e+00	2.892572e-02	2.892572e-02
-3.800000e+00	-3.400000e+00	2.473399e+00	3.974568e-02	3.974568e-02
-3.400000e+00	-3.000000e+00	4.479948e+00	5.368738e-02	5.368738e-02
-3.000000e+00	-2.600000e+00	7.755923e+00	7.075761e-02	7.075761e-02
-2.600000e+00	-2.200000e+00	1.336390e+01	9.299278e-02	9.299278e-02
-2.200000e+00	-1.800000e+00	2.282365e+01	1.209194e-01	1.209194e-01
-1.800000e+00	-1.400000e+00	3.552472e+01	1.500197e-01	1.500197e-01
-1.400000e+00	-1.000000e+00	5.051728e+01	1.779082e-01	1.779082e-01
-1.000000e+00	-6.000000e-01	6.522977e+01	2.008891e-01	2.008891e-01
-6.000000e-01	-2.000000e-01	7.532418e+01	2.152936e-01	2.152936e-01
-2.000000e-01	2.000000e-01	7.935985e+01	2.208664e-01	2.208664e-01
2.000000e-01	6.000000e-01	7.531915e+01	2.153246e-01	2.153246e-01
6.000000e-01	1.000000e+00	6.490902e+01	2.007352e-01	2.007352e-01
1.000000e+00	1.400000e+00	5.045135e+01	1.777729e-01	1.777729e-01
1.400000e+00	1.800000e+00	3.559015e+01	1.501917e-01	1.501917e-01
1.800000e+00	2.200000e+00	2.271236e+01	1.205891e-01	1.205891e-01
2.200000e+00	2.600000e+00	1.365075e+01	9.384362e-02	9.384362e-02
2.600000e+00	3.000000e+00	7.589053e+00	6.999733e-02	6.999733e-02
3.000000e+00	3.400000e+00	4.351260e+00	5.271448e-02	5.271448e-02
3.400000e+00	3.800000e+00	2.485506e+00	3.989481e-02	3.989481e-02
3.800000e+00	4.200000e+00	1.302945e+00	2.898452e-02	2.898452e-02
4.200000e+00	4.600000e+00	6.165795e-01	1.995360e-02	1.995360e-02
4.600000e+00	5.000000e+00	2.505897e-01	1.285758e-02	1.285758e-02
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_3
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.763697e-01	2.284371e-02	2.284371e-02
-4.600000e+00	-4.200000e+00	6.489648e-01	3.411684e-02	3.411684e-02
