# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_4 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_4
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_4 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_4
Title=Rapidity of fourth jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_4
LegendXPos=0.3
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jet_y_4
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	5.417197e-01	1.863126e-02	1.863126e-02
-4.600000e+00	-4.200000e+00	1.311174e+00	2.900757e-02	2.900757e-02
-4.200000e+00	-3.800000e+00	2.668682e+00	4.138043e-02	4.138043e-02
-3.800000e+00	-3.400000e+00	4.536195e+00	5.370295e-02	5.370295e-02
-3.400000e+00	-3.000000e+00	7.154930e+00	6.755063e-02	6.755063e-02
-3.000000e+00	-2.600000e+00	1.059961e+01	8.188513e-02	8.188513e-02
-2.600000e+00	-2.200000e+00	1.552326e+01	9.923404e-02	9.923404e-02
-2.200000e+00	-1.800000e+00	2.198054e+01	1.178401e-01	1.178401e-01
-1.800000e+00	-1.400000e+00	3.058307e+01	1.386950e-01	1.386950e-01
-1.400000e+00	-1.000000e+00	4.009053e+01	1.579570e-01	1.579570e-01
-1.000000e+00	-6.000000e-01	4.921690e+01	1.744388e-01	1.744388e-01
-6.000000e-01	-2.000000e-01	5.586003e+01	1.856550e-01	1.856550e-01
-2.000000e-01	2.000000e-01	5.791170e+01	1.887890e-01	1.887890e-01
2.000000e-01	6.000000e-01	5.578648e+01	1.852059e-01	1.852059e-01
6.000000e-01	1.000000e+00	4.917645e+01	1.743394e-01	1.743394e-01
1.000000e+00	1.400000e+00	4.026715e+01	1.583783e-01	1.583783e-01
1.400000e+00	1.800000e+00	3.050722e+01	1.384235e-01	1.384235e-01
1.800000e+00	2.200000e+00	2.219669e+01	1.184546e-01	1.184546e-01
2.200000e+00	2.600000e+00	1.544403e+01	9.902288e-02	9.902288e-02
2.600000e+00	3.000000e+00	1.060264e+01	8.202332e-02	8.202332e-02
3.000000e+00	3.400000e+00	7.195813e+00	6.766942e-02	6.766942e-02
3.400000e+00	3.800000e+00	4.552920e+00	5.388078e-02	5.388078e-02
3.800000e+00	4.200000e+00	2.612065e+00	4.092573e-02	4.092573e-02
4.200000e+00	4.600000e+00	1.352616e+00	2.961165e-02	2.961165e-02
4.600000e+00	5.000000e+00	5.563562e-01	1.900141e-02	1.900141e-02
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jet_y_4
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	5.607002e-01	3.179271e-02	3.179271e-02
-4.600000e+00	-4.200000e+00	1.345002e+00	4.914115e-02	4.914115e-02
-4.200000e+00	-3.800000e+00	2.713757e+00	6.963250e-02	6.963250e-02
-3.800000e+00	-3.400000e+00	4.559503e+00	9.033933e-02	9.033933e-02
-3.400000e+00	-3.000000e+00	6.998725e+00	1.114336e-01	1.114336e-01
-3.000000e+00	-2.600000e+00	1.049464e+01	1.363185e-01	1.363185e-01
-2.600000e+00	-2.200000e+00	1.535399e+01	1.651101e-01	1.651101e-01
-2.200000e+00	-1.800000e+00	2.168707e+01	1.957874e-01	1.957874e-01
-1.800000e+00	-1.400000e+00	3.072717e+01	2.331491e-01	2.331491e-01
-1.400000e+00	-1.000000e+00	4.026205e+01	2.653833e-01	2.653833e-01
-1.000000e+00	-6.000000e-01	4.918620e+01	2.921518e-01	2.921518e-01
-6.000000e-01	-2.000000e-01	5.604803e+01	3.120270e-01	3.120270e-01
-2.000000e-01	2.000000e-01	5.774485e+01	3.160466e-01	3.160466e-01
2.000000e-01	6.000000e-01	5.578818e+01	3.105863e-01	3.105863e-01
6.000000e-01	1.000000e+00	4.939953e+01	2.931992e-01	2.931992e-01
1.000000e+00	1.400000e+00	4.039625e+01	2.662447e-01	2.662447e-01
1.400000e+00	1.800000e+00	3.063055e+01	2.325542e-01	2.325542e-01
1.800000e+00	2.200000e+00	2.239948e+01	1.994741e-01	1.994741e-01
2.200000e+00	2.600000e+00	1.550192e+01	1.665513e-01	1.665513e-01
2.600000e+00	3.000000e+00	1.045870e+01	1.365578e-01	1.365578e-01
3.000000e+00	3.400000e+00	7.163348e+00	1.131643e-01	1.131643e-01
3.400000e+00	3.800000e+00	4.571723e+00	9.002625e-02	9.002625e-02
3.800000e+00	4.200000e+00	2.707620e+00	7.006059e-02	7.006059e-02
4.200000e+00	4.600000e+00	1.315980e+00	4.893319e-02	4.893319e-02
4.600000e+00	5.000000e+00	5.261505e-01	3.090837e-02	3.090837e-02
# END HISTO1D

