# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dR_13 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_dR_13
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dR_13 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_dR_13
Title=$\Delta R$ separation between jets
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dR_13
LegendXPos=0.10
XLabel=$\Delta{R}(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~1,~jet~3})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dR_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dR_13
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	4.347155e-02	7.352848e-03	7.352848e-03
4.000000e-01	6.000000e-01	1.220899e+01	1.244851e-01	1.244851e-01
6.000000e-01	8.000000e-01	1.028236e+01	1.142903e-01	1.142903e-01
8.000000e-01	1.000000e+00	8.933025e+00	1.062746e-01	1.062746e-01
1.000000e+00	1.200000e+00	9.567645e+00	1.100752e-01	1.100752e-01
1.200000e+00	1.400000e+00	1.169792e+01	1.213571e-01	1.213571e-01
1.400000e+00	1.600000e+00	1.591754e+01	1.414767e-01	1.414767e-01
1.600000e+00	1.800000e+00	2.340483e+01	1.708021e-01	1.708021e-01
1.800000e+00	2.000000e+00	3.528077e+01	2.093385e-01	2.093385e-01
2.000000e+00	2.200000e+00	5.221670e+01	2.541300e-01	2.541300e-01
2.200000e+00	2.400000e+00	7.543970e+01	3.056839e-01	3.056839e-01
2.400000e+00	2.600000e+00	1.063535e+02	3.623547e-01	3.623547e-01
2.600000e+00	2.800000e+00	1.565777e+02	4.400326e-01	4.400326e-01
2.800000e+00	3.000000e+00	2.011936e+02	4.986325e-01	4.986325e-01
3.000000e+00	3.200000e+00	2.053235e+02	5.050158e-01	5.050158e-01
