# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_deta_23 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_deta_23
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_deta_23 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_deta_23
Title=Pseudorapidity separation between jets
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_deta_23
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~2,~jet~3})$ [pb]
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_deta_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_deta_23
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	9.114632e-01	2.424294e-02	2.424294e-02
-4.600000e+00	-4.200000e+00	1.616540e+00	3.247509e-02	3.247509e-02
-4.200000e+00	-3.800000e+00	2.619445e+00	4.111507e-02	4.111507e-02
-3.800000e+00	-3.400000e+00	4.159568e+00	5.139767e-02	5.139767e-02
-3.400000e+00	-3.000000e+00	6.380113e+00	6.387867e-02	6.387867e-02
-3.000000e+00	-2.600000e+00	9.323303e+00	7.680838e-02	7.680838e-02
-2.600000e+00	-2.200000e+00	1.363584e+01	9.286088e-02	9.286088e-02
-2.200000e+00	-1.800000e+00	1.957170e+01	1.109124e-01	1.109124e-01
-1.800000e+00	-1.400000e+00	2.795400e+01	1.324141e-01	1.324141e-01
-1.400000e+00	-1.000000e+00	4.088458e+01	1.597452e-01	1.597452e-01
-1.000000e+00	-6.000000e-01	6.347185e+01	1.988274e-01	1.988274e-01
-6.000000e-01	-2.000000e-01	9.153992e+01	2.384862e-01	2.384862e-01
-2.000000e-01	2.000000e-01	7.167345e+01	2.109177e-01	2.109177e-01
2.000000e-01	6.000000e-01	9.207765e+01	2.392958e-01	2.392958e-01
6.000000e-01	1.000000e+00	6.381583e+01	1.992076e-01	1.992076e-01
1.000000e+00	1.400000e+00	4.090483e+01	1.595983e-01	1.595983e-01
1.400000e+00	1.800000e+00	2.789207e+01	1.320146e-01	1.320146e-01
1.800000e+00	2.200000e+00	1.941194e+01	1.103690e-01	1.103690e-01
2.200000e+00	2.600000e+00	1.351117e+01	9.240914e-02	9.240914e-02
2.600000e+00	3.000000e+00	9.414648e+00	7.725605e-02	7.725605e-02
