# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dphi_12 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_dphi_12
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dphi_12 /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_dphi_12
Title=Azimuthal separation between jets
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dphi_12
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~2})$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_dphi_12
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	3.825501e-01	2.742001e-02	2.742001e-02
1.256637e-01	2.513274e-01	4.814845e-01	3.210800e-02	3.210800e-02
2.513274e-01	3.769911e-01	5.196516e-01	3.250312e-02	3.250312e-02
3.769911e-01	5.026548e-01	8.103342e-01	4.092351e-02	4.092351e-02
5.026548e-01	6.283185e-01	6.697689e-01	3.723063e-02	3.723063e-02
6.283185e-01	7.539822e-01	6.673675e-01	3.753826e-02	3.753826e-02
7.539822e-01	8.796459e-01	7.030295e-01	3.834018e-02	3.834018e-02
8.796459e-01	1.005310e+00	7.116180e-01	3.859186e-02	3.859186e-02
1.005310e+00	1.130973e+00	7.416065e-01	3.944044e-02	3.944044e-02
1.130973e+00	1.256637e+00	8.876035e-01	4.249797e-02	4.249797e-02
1.256637e+00	1.382301e+00	1.160591e+00	4.978502e-02	4.978502e-02
1.382301e+00	1.507964e+00	1.423612e+00	5.490093e-02	5.490093e-02
1.507964e+00	1.633628e+00	1.856065e+00	6.163191e-02	6.163191e-02
1.633628e+00	1.759292e+00	2.639118e+00	7.416670e-02	7.416670e-02
1.759292e+00	1.884956e+00	3.833847e+00	8.879463e-02	8.879463e-02
1.884956e+00	2.010619e+00	6.023659e+00	1.116683e-01	1.116683e-01
2.010619e+00	2.136283e+00	9.593718e+00	1.402265e-01	1.402265e-01
2.136283e+00	2.261947e+00	1.645480e+01	1.830487e-01	1.830487e-01
2.261947e+00	2.387610e+00	2.818285e+01	2.396124e-01	2.396124e-01
2.387610e+00	2.513274e+00	4.774346e+01	3.111576e-01	3.111576e-01
2.513274e+00	2.638938e+00	7.967580e+01	4.028986e-01	4.028986e-01
2.638938e+00	2.764602e+00	1.350130e+02	5.233905e-01	5.233905e-01
2.764602e+00	2.890265e+00	2.366909e+02	6.916193e-01	6.916193e-01
2.890265e+00	3.015929e+00	4.541831e+02	9.554230e-01	9.554230e-01
3.015929e+00	3.141593e+00	1.145284e+03	1.499337e+00	1.499337e+00
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_dphi_12
ErrorBars=1
LineColor=blue
