# BEGIN PLOT
LegendOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_mjj /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_mjj
DrawOnly=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_mjj /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_mjj
Title=Dijet invariant mass spectrum
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotReference=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_mjj
XLabel=$m_{jj}$ [GeV]
LegendAlign=r
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_prehadron_merged.yoda/MC_JETS/jets_mjj
ScaledBy=7.25646247661192894e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.625000e+02	3.902512e-04	2.662739e-05	2.662739e-05
1.625000e+02	3.250000e+02	2.382606e-03	6.416795e-05	6.416795e-05
3.250000e+02	4.875000e+02	5.236910e-03	9.657069e-05	9.657069e-05
4.875000e+02	6.500000e+02	1.669684e-02	1.758450e-04	1.758450e-04
6.500000e+02	8.125000e+02	5.380400e-02	3.174631e-04	3.174631e-04
8.125000e+02	9.750000e+02	1.251693e-01	4.798465e-04	4.798465e-04
9.750000e+02	1.137500e+03	1.881227e-01	5.758505e-04	5.758505e-04
1.137500e+03	1.300000e+03	2.812329e-01	7.087497e-04	7.087497e-04
1.300000e+03	1.462500e+03	2.746402e-01	6.640995e-04	6.640995e-04
1.462500e+03	1.625000e+03	2.053649e-01	5.419611e-04	5.419611e-04
1.625000e+03	1.787500e+03	1.471370e-01	4.414751e-04	4.414751e-04
1.787500e+03	1.950000e+03	1.054155e-01	3.638980e-04	3.638980e-04
1.950000e+03	2.112500e+03	7.447649e-02	2.997622e-04	2.997622e-04
2.112500e+03	2.275000e+03	5.342134e-02	2.498416e-04	2.498416e-04
2.275000e+03	2.437500e+03	3.866981e-02	2.099998e-04	2.099998e-04
2.437500e+03	2.600000e+03	2.846686e-02	1.791812e-04	1.791812e-04
2.600000e+03	2.762500e+03	2.086106e-02	1.524085e-04	1.524085e-04
2.762500e+03	2.925000e+03	1.538464e-02	1.301346e-04	1.301346e-04
2.925000e+03	3.087500e+03	1.153379e-02	1.125840e-04	1.125840e-04
3.087500e+03	3.250000e+03	8.564166e-03	9.599720e-05	9.599720e-05
3.250000e+03	3.412500e+03	6.271588e-03	8.161098e-05	8.161098e-05
3.412500e+03	3.575000e+03	4.833073e-03	7.227707e-05	7.227707e-05
3.575000e+03	3.737500e+03	3.671582e-03	6.279475e-05	6.279475e-05
3.737500e+03	3.900000e+03	2.687006e-03	5.331935e-05	5.331935e-05
3.900000e+03	4.062500e+03	2.019700e-03	4.638970e-05	4.638970e-05
4.062500e+03	4.225000e+03	1.555431e-03	4.035205e-05	4.035205e-05
4.225000e+03	4.387500e+03	1.194658e-03	3.570004e-05	3.570004e-05
4.387500e+03	4.550000e+03	9.264671e-04	3.151176e-05	3.151176e-05
4.550000e+03	4.712500e+03	6.550068e-04	2.637286e-05	2.637286e-05
4.712500e+03	4.875000e+03	5.210372e-04	2.356050e-05	2.356050e-05
4.875000e+03	5.037500e+03	4.177958e-04	2.126621e-05	2.126621e-05
5.037500e+03	5.200000e+03	3.179898e-04	1.856598e-05	1.856598e-05
5.200000e+03	5.362500e+03	2.580462e-04	1.612285e-05	1.612285e-05
5.362500e+03	5.525000e+03	1.787867e-04	1.340873e-05	1.340873e-05
5.525000e+03	5.687500e+03	1.328585e-04	1.142371e-05	1.142371e-05
5.687500e+03	5.850000e+03	9.330769e-05	9.635347e-06	9.635347e-06
5.850000e+03	6.012500e+03	7.152942e-05	8.673405e-06	8.673405e-06
6.012500e+03	6.175000e+03	4.587710e-05	6.257878e-06	6.257878e-06
6.175000e+03	6.337500e+03	4.349918e-05	7.144578e-06	7.144578e-06
6.337500e+03	6.500000e+03	3.626097e-05	6.724957e-06	6.724957e-06
# END HISTO1D


# BEGIN HISTO1D /suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_mjj
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr800_bornktmin600_1B_ParisParams_MSTP_posthadron_merged.yoda/MC_JETS/jets_mjj
ScaledBy=2.03839766012782301e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.625000e+02	3.589950e-04	4.280527e-05	4.280527e-05
1.625000e+02	3.250000e+02	2.323540e-03	1.060996e-04	1.060996e-04
3.250000e+02	4.875000e+02	5.349839e-03	1.642570e-04	1.642570e-04
